"log CM"	"CDIN1R101A- Codanin-1"	"CDIN1R101A- Codanin-1"	"CDIN1R101A- Codanin-1"	"CDIN1R126A- Codanin-1"	"CDIN1R126A- Codanin-1"	"CDIN1R126A- Codanin-1"	"CDIN1- Codanin-1R872A"	"CDIN1- Codanin-1R872A"	"CDIN1- Codanin-1R872A"	"CDIN1- Codanin-1K879A"	"CDIN1- Codanin-1K879A"	"CDIN1- Codanin-1K879A"	"CDIN1- Codanin-1"	"CDIN1- Codanin-1"	"CDIN1- Codanin-1"
-5.30103	325.1	318.3	323.5	325.0	274.9	273.5	170.1	174.4	249.0	206.5	216.5	220.7	340.3	306.6	301.7
-5.60206	313.8	323.9	322.6	263.3	267.4	259.2	121.1	183.0	130.4	166.1	158.8	159.3	316.1	292.5	305.8
-5.90309	279.8	265.1	282.7	241.5	246.1	232.7	65.1	75.1	68.1	65.2	75.2	68.1	279.8	265.0	282.7
-6.20412	257.8	231.3	252.8	210.9	196.4	212.8	39.0	68.9	62.0	39.3	68.9	62.7	257.8	231.3	252.8
-6.50515	156.4	162.9	168.9	151.3	139.3	152.3	18.0	46.8	26.0	18.6	46.8	26.7	156.4	162.9	168.9
-6.80618	82.4	91.1	79.7	110.1	89.8	78.7	20.6	97.2	87.3	20.6	26.1	22.8	82.4	91.1	79.7
-7.10721	89.9	45.2	71.8	41.7	34.2	45.9	62.7	53.6	67.2	52.5	58.5	72.5	89.9	45.2	71.8
-7.40824	72.5	58.8	55.6	86.0	45.6	54.9	86.6	80.5	68.9	65.0	59.2	53.3	72.5	58.8	55.6
-7.70927	64.8	28.0	66.9	73.5	76.2	63.9	59.4	76.2	73.5	52.7	23.5	68.0	64.8	28.0	66.9
-8.01030	16.4	47.8	20.1	64.1	31.2	80.1	20.3	55.7	53.2	24.0	17.0	21.8	24.4	17.8	17.1
-8.31133	37.6	39.5	10.5	70.0	58.6	18.6	70.6	63.3	15.9	37.6	45.3	13.0	37.0	44.5	13.5
-8.61236	16.1	21.6	35.0	11.0	43.2	35.6	11.9	3.5	32.6	2.7	3.5	40.1	2.7	5.7	11.5
