"log CM"	"CDIN1 WT"	"CDIN1 WT"	"CDIN1 WT"	"CDIN1 R101A"	"CDIN1 R101A"	"CDIN1 R101A"	"CDIN1 R126A"	"CDIN1 R126A"	"CDIN1 R126A"
-5.30103	212.9	218.0	222.5	99.7	115.7	105.4	136.6	144.9	153.9
-5.60206	179.1	171.7	190.8	61.3	58.8	75.0	92.4	92.3	100.3
-5.90309	100.1	122.4	113.3	30.2	34.1	38.4	41.2	58.7	54.5
-6.20412	54.1	66.6	45.9	18.7	28.6	20.4	18.5	12.4	24.4
-6.50515	16.0	24.1	29.1	25.9	26.0	15.5	5.3	6.4	14.3
-6.80618	11.3	15.4	16.4	75.8	74.8	45.0	26.6	5.3	23.9
-7.10721	48.6	32.3	39.2	94.0	94.1	104.2	91.3	101.3	97.0
-7.40824	73.0	75.3	80.2	76.4	86.4	63.4	61.2	84.0	52.9
-7.70927	41.5	45.5	58.4	80.3	24.3	31.1	44.5	61.2	58.1
-8.01030	51.5	31.9	30.2	76.3	76.3	23.1	48.0	61.3	35.5
-8.31133	39.4	33.4	38.5	27.4	27.4	26.4	36.3	31.1	37.7
-8.61236	24.6	42.7	39.9	47.8	47.8	58.7	52.1	17.3	37.4
