,DH,INJV,Xt,Mt,XMt,NDH
1,-10.28150221,15,0,0.04,0.106274486,--
2,-10.1237965,10,0.004206276,0.039579361,0.177745021,-2530.949126
3,-9.235628028,10,0.006985625,0.039301383,0.249712259,-2308.907007
4,-8.427947624,10,0.009745106,0.039025341,0.322176199,-2106.986906
5,-7.893919976,10,0.012484719,0.038751214,0.395136843,-1973.479994
6,-7.488680247,10,0.015204464,0.038478982,0.468594188,-1872.170062
7,-6.489062776,10,0.01790434,0.038208626,0.542548237,-1622.265694
8,-7.327283801,10,0.020584349,0.037940126,0.616998987,-1831.82095
9,-7.551593521,10,0.023244489,0.037673464,0.691946441,-1887.89838
10,-7.417157643,10,0.025884761,0.03740862,0.767390597,-1854.289411
11,-7.937957865,10,0.028505165,0.037145576,0.843331456,-1984.489466
12,-7.742607622,10,0.031105702,0.036884313,0.919769017,-1935.651906
13,-8.147020615,10,0.033686369,0.036624814,0.996703281,-2036.755154
14,-7.059546529,10,0.036247169,0.036367061,1.074134247,-1764.886632
15,-7.804896247,10,0.038788101,0.036111037,1.152061916,-1951.224062
16,-7.356994753,10,0.041309165,0.035856723,1.230486288,-1839.248688
17,-6.999364237,10,0.04381036,0.035604103,1.309407362,-1749.841059
18,-7.862742009,10,0.046291688,0.03535316,1.388825138,-1965.685502
19,-7.060466981,10,0.048753147,0.035103877,1.468739618,-1765.116745
20,-7.299805593,10,0.051194738,0.034856238,1.5491508,-1824.951398
21,,--,0.053616461,0.034610227,--,
