"Vol (mL)"	CDIN1L178Q	CDIN1L178Q	CDIN1L178Q	Codanin-1	Codanin-1	Codanin-1	"CDIN1L178Q- Codanin-1"	"CDIN1L178Q- Codanin-1"	"CDIN1L178Q- Codanin-1"
0.0000				0.240					
0.1300				0.520					
0.2500				-0.200					
0.3800				8.120					
0.5000				8.400					
0.6300				15.120					
0.7500				17.520					
0.8800				17.680					
1.0000				16.080					
1.1300				14.400					
1.2500				13.280					
1.3800				12.280					
1.5000				11.640					
1.6300				11.040					
1.7500				10.280					
1.8800				9.720					
2.0000				9.360					
2.1300				9.120					
2.2500				8.640					
2.3800				8.400					
2.5000				8.520					
2.6300				8.520					
2.7500				8.160					
2.8800				7.880					
3.0000				7.840					
3.1300				7.640					
3.2500				7.280					
3.3800				7.400					
3.5000				7.080					
3.6300				6.920					
3.7500				6.680					
3.8800				6.640					
4.0000				6.560					
4.1300				6.320					
4.2500				6.160					
4.3800				5.960					
4.5000				5.920					
4.6300				5.800					
4.7500				5.560					
4.8800				5.480					
5.0000				5.400					
5.1300				5.280					
5.2500				5.280					
5.3800				5.120					
5.5000				5.040					
5.6300				5.040					
5.7500				4.840					
5.8800				4.840					
6.0000				4.760					
6.1300				4.640					
6.2500				4.640					
6.3800				4.600					
6.5100				4.480					
6.6300				4.560					
6.7600				4.400					
6.8800				4.360					
7.0100				4.320					
7.1300				4.240					
7.2600				4.200					
7.3800				4.200					
7.5100				4.120					
7.6300				4.120					
7.7600				3.880					
7.8800				3.920					
8.0100				3.960					
8.1300				3.920					
8.2600				3.880					
8.3800				3.720					
8.5100				3.880					
8.6300				3.760					
8.7600				3.720					
8.8800				3.720					
9.0100				3.640					
9.1300				3.600					
9.2600				3.640					
9.3800				3.560					
9.5100				3.680					
9.6300				3.600					
9.7600				3.520					
9.8800				3.520					
10.0100				3.520					
10.1300				3.560					
10.2600				3.400					
10.3800				3.480					
10.5100				3.440					
10.6300				3.440					
10.7600				3.480					
10.8800				3.440					
11.0100				3.400					
11.1300				3.360					
11.2600				3.320					
11.3800				3.400					
11.5100				3.320					
11.6300				3.320					
11.7600				3.280					
11.8800				3.280					
12.0100				3.280					
12.1300				3.200					
12.2600				3.200					
12.3800				3.200					
12.5100				3.080					
12.6300				3.120					
12.7600				3.240					
12.8900				3.080					
13.0100				3.000					
13.1400				3.160					
13.2600				3.080					
13.3900				3.120					
13.5100				3.080					
13.6400				3.040					
13.7600				3.000					
13.8900				3.080					
14.0100				3.080					
14.1400				3.120					
14.2600				2.960					
14.3900				3.040					
14.5100				3.040					
14.6400				2.960					
14.7600				2.920					
14.8900				2.960					
15.0100				3.080					
15.1400				3.040					
15.2600				2.920					
15.3900				2.960					
15.5100				2.840					
15.6400				2.880					
15.7600				2.920					
15.8900				2.840					
16.0100				2.840					
16.1400				2.800					
16.2600				2.840					
16.3900				2.840					
16.5100				2.760					
16.6400				2.760					
16.7600				2.800					
16.8900				2.840					
17.0100				2.760					
17.1400				2.760					
17.2600				2.720					
17.3900				2.760					
17.5100				2.680					
17.6400				2.720					
17.7600				2.640					
17.8900				2.680					
18.0100				2.640					
18.1400				2.760					
18.2600				2.560					
18.3900				2.640					
18.5100				2.640					
18.6400				2.600					
18.7600				2.560					
18.8900				2.560					
19.0100				2.560					
19.1400				2.720					
19.2700				2.480					
19.3900				2.560					
19.5200				2.400					
19.6400				2.520					
19.7700				2.560					
19.8900				2.480					
20.0200				2.560					
20.1400				2.440					
20.2700				2.480					
20.3900				2.520					
