"Vol (mL)"	CDIN1Y94C	CDIN1Y94C	CDIN1Y94C	Codanin-1	Codanin-1	Codanin-1	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"
0.00				0.240					
0.13				0.520					
0.25				-0.200					
0.38				8.120					
0.50				8.400					
0.63				15.120					
0.75				17.520					
0.88				17.680					
1.00				16.080					
1.13				14.400					
1.25				13.280					
1.38				12.280					
1.50				11.640					
1.63				11.040					
1.75				10.280					
1.88				9.720					
2.00				9.360					
2.13				9.120					
2.25				8.640					
2.38				8.400					
2.50				8.520					
2.63				8.520					
2.75				8.160					
2.88				7.880					
3.00				7.840					
3.13				7.640					
3.25				7.280					
3.38				7.400					
3.50				7.080					
3.63				6.920					
3.75				6.680					
3.88				6.640					
4.00				6.560					
4.13				6.320					
4.25				6.160					
4.38				5.960					
4.50				5.920					
4.63				5.800					
4.75				5.560					
4.88				5.480					
5.00				5.400					
5.13				5.280					
5.25				5.280					
5.38				5.120					
5.50				5.040					
5.63				5.040					
5.75				4.840					
5.88				4.840					
6.00				4.760					
6.13				4.640					
6.25				4.640					
6.38				4.600					
6.51				4.480					
6.63				4.560					
6.76				4.400					
6.88				4.360					
7.01				4.320					
7.13				4.240					
7.26				4.200					
7.38				4.200					
7.51				4.120					
7.63				4.120					
7.76				3.880					
7.88				3.920					
8.01				3.960					
8.13				3.920					
8.26				3.880					
8.38				3.720					
8.51				3.880					
8.63				3.760					
8.76				3.720					
8.88				3.720					
9.01				3.640					
9.13				3.600					
9.26				3.640					
9.38				3.560					
9.51				3.680					
9.63				3.600					
9.76				3.520					
9.88				3.520					
10.01				3.520					
10.13				3.560					
10.26				3.400					
10.38				3.480					
10.51				3.440					
10.63				3.440					
10.76				3.480					
10.88				3.440					
11.01				3.400					
11.13				3.360					
11.26				3.320					
11.38				3.400					
11.51				3.320					
11.63				3.320					
11.76				3.280					
11.88				3.280					
12.01				3.280					
12.13				3.200					
12.26				3.200					
12.38				3.200					
12.51				3.080					
12.63				3.120					
12.76				3.240					
12.89				3.080					
13.01				3.000					
13.14				3.160					
13.26				3.080					
13.39				3.120					
13.51				3.080					
13.64				3.040					
13.76				3.000					
13.89				3.080					
14.01				3.080					
14.14				3.120					
14.26				2.960					
14.39				3.040					
14.51				3.040					
14.64				2.960					
14.76				2.920					
14.89				2.960					
15.01				3.080					
15.14				3.040					
15.26				2.920					
15.39				2.960					
15.51				2.840					
15.64				2.880					
15.76				2.920					
15.89				2.840					
16.01				2.840					
16.14				2.800					
16.26				2.840					
16.39				2.840					
16.51				2.760					
16.64				2.760					
16.76				2.800					
16.89				2.840					
17.01				2.760					
17.14				2.760					
17.26				2.720					
17.39				2.760					
17.51				2.680					
17.64				2.720					
17.76				2.640					
17.89				2.680					
18.01				2.640					
18.14				2.760					
18.26				2.560					
18.39				2.640					
18.51				2.640					
18.64				2.600					
18.76				2.560					
18.89				2.560					
19.01				2.560					
19.14				2.720					
19.27				2.480					
19.39				2.560					
19.52				2.400					
19.64				2.520					
19.77				2.560					
19.89				2.480					
20.02				2.560					
20.14				2.440					
20.27				2.480					
20.39				2.520					
20.52				2.360					
20.64				2.400					
20.77				2.480					
20.89				2.360					
21.02				2.280					
21.14				2.360					
21.27				2.320					
21.39				2.280					
21.52				2.280					
21.64				2.320					
21.77				2.200					
21.89				2.240					
22.02				2.280					
22.14				2.160					
22.27				2.120					
22.39				2.120					
22.52				2.120					
22.64				2.040					
22.77				2.120					
22.89				1.960					
23.02				1.960					
