"Vol (mL)"	CDIN1	CDIN1	CDIN1	Codanin-1	Codanin-1	Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
0.00	-1.69								
0.12	-1.62								
0.25	-1.58								
0.37	-1.63								
0.50	-0.85								
0.62	-0.80								
0.75	-0.67								
0.87	-0.46								
1.00	-0.82								
1.12	-1.13								
1.24	-1.28								
1.37	-1.35								
1.49	-1.40								
1.62	-1.44								
1.74	-1.44								
1.87	-1.47								
1.99	-1.50								
2.12	-1.52								
2.24	-1.53								
2.37	-1.55								
2.49	-1.56								
2.61	-1.57								
2.74	-1.58								
2.86	-1.60								
2.99	-1.61								
3.11	-1.60								
3.24	-1.62								
3.36	-1.62								
3.49	-1.64								
3.61	-1.64								
3.73	-1.62								
3.86	-1.63								
3.98	-1.65								
4.11	-1.63								
4.23	-1.65								
4.36	-1.66								
4.48	-1.66								
4.61	-1.66								
4.73	-1.66								
4.86	-1.64								
4.98	-1.67								
5.10	-1.68								
5.23	-1.66								
5.35	-1.66								
5.48	-1.67								
5.60	-1.66								
5.73	-1.70								
5.85	-1.67								
5.98	-1.72								
6.10	-1.71								
6.22	-1.69								
6.35	-1.61								
6.47	-1.71								
6.60	-1.70								
6.72	-1.71								
6.85	-1.72								
6.97	-1.71								
7.10	-1.74								
7.22	-1.71								
7.35	-1.73								
7.47	-1.72								
7.59	-1.73								
7.72	-1.72								
7.84	-1.72								
7.97	-1.72								
8.09	-1.75								
8.22	-1.74								
8.34	-1.73								
8.47	-1.74								
8.59	-1.75								
8.71	-1.74								
8.84	-1.76								
8.96	-1.76								
9.09	-1.75								
9.21	-1.73								
9.34	-1.75								
9.46	-1.75								
9.59	-1.74								
9.71	-1.74								
9.84	-1.75								
9.96	-1.76								
10.08	-1.74								
10.21	-1.77								
10.33	-1.76								
10.46	-1.77								
10.58	-1.77								
10.71	-1.77								
10.83	-1.77								
10.96	-1.77								
11.08	-1.77								
11.20	-1.77								
11.33	-1.74								
11.45	-1.75								
11.58	-1.79								
11.70	-1.74								
11.83	-1.77								
11.95	-1.77								
12.08	-1.76								
12.20	-1.78								
12.33	-1.78								
12.45	-1.77								
12.57	-1.77								
12.70	-1.78								
12.82	-1.80								
12.95	-1.75								
13.07	-1.80								
13.20	-1.79								
13.32	-1.79								
13.45	-1.80								
13.57	-1.79								
13.69	-1.81								
13.82	-1.81								
13.94	-1.79								
14.07	-1.80								
14.19	-1.80								
14.32	-1.80								
14.44	-1.79								
14.57	-1.78								
14.69	-1.81								
14.81	-1.79								
14.94	-1.80								
15.06	-1.81								
15.19	-1.82								
15.31	-1.81								
15.44	-1.81								
15.56	-1.81								
15.69	-1.81								
15.81	-1.81								
15.94	-1.80								
16.06	-1.78								
16.18	-1.82								
16.31	-1.80								
16.43	-1.80								
16.56	-1.83								
16.68	-1.81								
16.81	-1.82								
16.93	-1.80								
17.06	-1.80								
17.18	-1.80								
17.30	-1.81								
17.43	-1.81								
17.55	-1.82								
17.68	-1.82								
17.80	-1.84								
17.93	-1.83								
18.05	-1.84								
18.18	-1.84								
18.30	-1.82								
18.43	-1.83								
18.55	-1.83								
