"Volume (mL)"	"BioRad Standards"	"BioRad Standards"	"BioRad Standards"	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
-2.036640	19.706380					
-2.035650	19.805090					
-2.034650	19.891930					
-2.033660	19.935500					
-2.032670	19.996420					
-2.031680	20.055760					
-2.030680	20.088270					
-2.029690	20.114840					
-2.028700	20.163710					
-2.027710	20.202160					
-2.026710	20.200750					
-2.025720	20.105120					
-2.024730	20.074660					
-2.023730	20.119100					
-2.022740	20.185960					
-2.021750	20.148320					
-2.020760	20.136870					
-2.019760	20.134870					
-2.018770	20.122830					
-2.017780	20.133790					
-2.016790	20.169590					
-2.015790	20.198050					
-2.014800	20.197400					
-2.013810	20.173430					
-2.012820	20.181960					
-2.011820	20.174350					
-2.010830	20.177480					
-2.009840	20.182070					
-2.008840	20.173100					
-2.007850	20.130230					
-2.006860	20.113870					
-2.005870	20.132500					
-2.004870	13.958410					
-2.003880	-0.003460					
-2.002890	-0.029050					
-2.001900	-0.042390					
-2.000900	-0.048330					
-1.999910	-0.057020					
-1.998920	-0.073760					
-1.997930	-0.046390					
-1.996930	-0.049140					
-1.995940	-0.052110					
-1.994950	-0.042280					
-1.993950	-0.014800					
-1.992960	-0.013230					
-1.991970	-0.019660					
-1.990980	-0.018900					
-1.989980	-0.016580					
-1.988990	-0.033160					
-1.988000	-0.071120					
-1.987010	-0.077000					
-1.986010	-0.101300					
-1.985020	-0.143370					
-1.984030	-0.164380					
-1.983040	-0.185870					
-1.982040	-0.170050					
-1.981050	-0.138830					
-1.980060	-0.104920					
-1.979060	-0.081320					
-1.978070	-0.092340					
-1.977080	-0.104600					
-1.976090	-0.102010					
-1.975090	-0.068200					
-1.974100	-0.053140					
-1.973110	-0.027380					
-1.972120	-0.005080					
-1.971120	0.020088					
-1.970130	0.073602					
-1.969140	0.109998					
-1.968150	0.103842					
-1.967150	0.105408					
-1.966160	0.091908					
-1.965170	0.059130					
-1.964170	0.071496					
-1.963180	0.056268					
-1.962190	0.075222					
-1.961200	0.118422					
-1.960200	0.159732					
-1.959210	0.149526					
-1.958220	0.159732					
-1.957230	0.179226					
-1.956230	0.210330					
-1.955240	0.257526					
-1.954250	0.326862					
-1.953260	0.433674					
-1.952260	0.582336					
-1.951270	0.748494					
-1.950280	0.899424					
-1.949280	1.041174					
-1.948290	1.191942					
-1.947300	1.379916					
-1.946310	1.598400					
-1.945310	1.820070					
-1.944320	1.982556					
-1.943330	2.105892					
-1.942340	2.208114					
-1.941340	2.319948					
-1.940350	2.482218					
-1.939360	2.651832					
-1.938370	2.796606					
-1.937370	2.955366					
-1.936380	3.127788					
-1.935390	3.273966					
-1.934390	3.447360					
-1.933400	3.640680					
-1.932410	3.835782					
-1.931420	4.032180					
-1.930420	4.256874					
-1.929430	4.421304					
-1.928440	4.599396					
-1.927450	4.782996					
-1.926450	4.969620					
-1.925460	5.192208					
-1.924470	5.394168					
-1.923480	5.589378					
-1.922480	5.762934					
-1.921490	5.904252					
-1.920500	6.090660					
-1.919500	6.252930					
-1.918510	6.398568					
-1.917520	6.552576					
-1.916530	6.743358					
-1.915530	6.949152					
-1.914540	7.106184					
-1.913550	7.247988					
-1.912560	7.386012					
-1.911560	7.520148					
-1.910570	7.618374					
-1.909580	7.714656					
-1.908590	7.813476					
-1.907590	7.918074					
-1.906600	8.042058					
-1.905610	8.211996					
-1.904610	8.317782					
-1.903620	8.455104					
-1.902630	8.578980					
-1.901640	8.713386					
-1.900640	8.838828					
-1.899650	8.948772					
-1.898660	9.057312					
-1.897670	9.138204					
-1.896670	9.206946					
-1.895680	9.273420					
-1.894690	9.280170					
-1.893700	9.209214					
-1.892700	9.099756					
-1.891710	9.005040					
-1.890720	8.860320					
-1.889720	8.665812					
-1.888730	8.423784					
-1.887740	8.182296					
-1.886750	7.966080					
-1.885750	7.789122					
-1.884760	7.641594					
-1.883770	7.503894					
-1.882780	7.335090					
-1.881780	7.142418					
-1.880790	6.922800					
-1.879800	6.666786					
-1.878810	6.430482					
-1.877810	6.182460					
-1.876820	5.909814					
-1.875830	5.652720					
-1.874830	5.406264					
-1.873840	5.194044					
-1.872850	4.972050					
-1.871860	4.746816					
-1.870860	4.504248					
-1.869870	4.242078					
-1.868880	3.986982					
-1.867890	3.774816					
-1.866890	3.510000					
-1.865900	3.231684					
-1.864910	2.985876					
-1.863920	2.762964					
-1.862920	2.521206					
-1.861930	2.279232					
-1.860940	2.044494					
-1.859940	1.795986					
-1.858950	1.600020					
-1.857960	1.467774					
-1.856970	1.297350					
-1.855970	1.094526					
-1.854980	0.896616					
-1.853990	0.667980					
-1.853000	0.476280					
-1.852000	0.320544					
-1.851010	0.103788					
-1.850020	-0.092230					
-1.849030	-0.273620					
-1.848030	-0.490590					
-1.847040	-0.631800					
-1.846050	-0.767560					
-1.845050	-0.897160					
-1.844060	-0.991490					
-1.843070	-1.060020					
-1.842080	-1.157490					
-1.841080	-1.250910					
-1.840090	-1.307990					
-1.839100	-1.307070					
-1.838110	-1.326460					
-1.837110	-1.361290					
-1.836120	-1.409080					
-1.835130	-1.416370					
-1.834140	-1.447150					
-1.833140	-1.438020					
-1.832150	-1.444770					
-1.831160	-1.439050					
-1.830160	-1.391150					
-1.829170	-1.318680					
-1.828180	-1.235740					
-1.827190	-1.183190					
-1.826190	-1.100630					
-1.825200	-1.075460					
-1.824210	-1.032640					
-1.823220	-0.951370					
-1.822220	-0.870970					
-1.821230	-0.792990					
-1.820240	-0.711070					
-1.819250	-0.619700					
-1.818250	-0.513760					
-1.817260	-0.382160					
-1.816270	-0.275620					
-1.815270	-0.145690					
-1.814280	0.008586					
-1.813290	0.117774					
-1.812300	0.214650					
-1.811300	0.367632					
-1.810310	0.514566					
-1.809320	0.676512					
-1.808330	0.872208					
-1.807330	1.037340					
-1.806340	1.214784					
-1.805350	1.389420					
-1.804360	1.551474					
-1.803360	1.738962					
-1.802370	1.912464					
-1.801380	2.067390					
-1.800380	2.239110					
-1.799390	2.441556					
-1.798400	2.644596					
-1.797410	2.849472					
-1.796410	3.030642					
-1.795420	3.211596					
-1.794430	3.435534					
-1.793440	3.631770					
-1.792440	3.809052					
-1.791450	4.005774					
-1.790460	4.201902					
-1.789470	4.375890					
-1.788470	4.533246					
-1.787480	4.712958					
-1.786490	4.924854					
-1.785490	5.115366					
-1.784500	5.290542					
-1.783510	5.470632					
-1.782520	5.648400					
-1.781520	5.799654					
-1.780530	5.987196					
-1.779540	6.151626					
-1.778550	6.276474					
-1.777550	6.446088					
-1.776560	6.601824					
-1.775570	6.756858					
-1.774580	6.918426					
-1.773580	7.131618					
-1.772590	7.319862					
-1.771600	7.449948					
-1.770600	7.657632					
-1.769610	7.835238					
-1.768620	7.902684					
-1.767630	8.041032					
-1.766630	8.167284					
-1.765640	8.294670					
-1.764650	8.457102					
-1.763660	8.609976					
-1.762660	8.762742					
-1.761670	8.899092					
-1.760680	9.036522					
-1.759690	9.189234					
-1.758690	9.338598					
-1.757700	9.494388					
-1.756710	9.638406					
-1.755710	9.744084					
-1.754720	9.836154					
-1.753730	9.924822					
-1.752740	10.043030					
-1.751740	10.146980					
-1.750750	10.270850					
-1.749760	10.399750					
-1.748770	10.503110					
-1.747770	10.572120					
-1.746780	10.658950					
-1.745790	10.726450					
-1.744800	10.872200					
-1.743800	10.900870					
-1.742810	10.958600					
-1.741820	11.010060					
-1.740820	11.061740					
-1.739830	11.124490					
-1.738840	11.184050					
-1.737850	11.217800					
-1.736850	11.287130					
-1.735860	11.299990					
-1.734870	11.351450					
-1.733880	11.405290					
-1.732880	11.421810					
-1.731890	11.478020					
-1.730900	11.541200					
-1.729910	11.588990					
-1.728910	11.600440					
-1.727920	11.617720					
-1.726930	11.613020					
-1.725930	11.607460					
-1.724940	11.573550					
-1.723950	11.542070					
-1.722960	11.543040					
-1.721960	11.504210					
-1.720970	11.492980					
-1.719980	11.432450					
-1.718990	11.395130					
-1.717990	11.412900					
-1.717000	11.415980					
-1.716010	11.368890					
-1.715020	11.327150					
-1.714020	11.280550					
-1.713030	11.222660					
-1.712040	11.184700					
-1.711040	11.158180					
-1.710050	11.116060					
-1.709060	11.044460					
-1.708070	10.993810					
-1.707070	10.893910					
-1.706080	10.774080					
-1.705090	10.693510					
-1.704100	10.587620					
-1.703100	10.560020					
-1.702110	10.501430					
-1.701120	10.463310					
-1.700130	10.399540					
-1.699130	10.308600					
-1.698140	10.246010					
-1.697150	10.152760					
-1.696150	10.022720					
-1.695160	9.959166					
-1.694170	9.859752					
-1.693180	9.781074					
-1.692180	9.728424					
-1.691190	9.680742					
-1.690200	9.656064					
-1.689210	9.604440					
-1.688210	9.518688					
-1.687220	9.451080					
-1.686230	9.384768					
-1.685240	9.314622					
-1.684240	9.237888					
-1.683250	9.152622					
-1.682260	9.091926					
-1.681260	9.007956					
-1.680270	8.888886					
-1.679280	8.769600					
-1.678290	8.667216					
-1.677290	8.613162					
-1.676300	8.559324					
-1.675310	8.473410					
-1.674320	8.415900					
-1.673320	8.407152					
-1.672330	8.324316					
-1.671340	8.227386					
-1.670340	8.161668					
-1.669350	8.088444					
-1.668360	8.038440					
-1.667370	7.947720					
-1.666370	7.892046					
-1.665380	7.824708					
-1.664390	7.778754					
-1.663400	7.711470					
-1.662400	7.674696					
-1.661410	7.612056					
-1.660420	7.540506					
-1.659430	7.491474					
-1.658430	7.412202					
-1.657440	7.351452					
-1.656450	7.301934					
-1.655460	7.230384					
-1.654460	7.165638					
-1.653470	7.154298					
-1.652480	7.128486					
-1.651480	7.058826					
-1.650490	6.960438					
-1.649500	6.883920					
-1.648510	6.831000					
-1.647510	6.768198					
-1.646520	6.718194					
-1.645530	6.691680					
-1.644540	6.631956					
-1.643540	6.538374					
-1.642550	6.482754					
-1.641560	6.441714					
-1.640560	6.367680					
-1.639570	6.285492					
-1.638580	6.210540					
-1.637590	6.209244					
-1.636590	6.172416					
-1.635600	6.113934					
-1.634610	6.015600					
-1.633620	5.967648					
-1.632620	5.918886					
-1.631630	5.849766					
-1.630640	5.732154					
-1.629650	5.707476					
-1.628650	5.655312					
-1.627660	5.640516					
-1.626670	5.576634					
-1.625670	5.543262					
-1.624680	5.476788					
-1.623690	5.442768					
-1.622700	5.330610					
-1.621700	5.236650					
-1.620710	5.234760					
-1.619720	5.184864					
-1.618730	5.102784					
-1.617730	5.066604					
-1.616740	5.017194					
-1.615750	4.938462					
-1.614760	4.919886					
-1.613760	4.873986					
-1.612770	4.809348					
-1.611780	4.730238					
-1.610790	4.662954					
-1.609790	4.613922					
-1.608800	4.538160					
-1.607810	4.489884					
-1.606810	4.428054					
-1.605820	4.378590					
-1.604830	4.330422					
