Cycle: 9  C15A160F_X	Cycle: 9  C15A160F_Y	Fitted Cycle: 9  C15A160F_X	Fitted Cycle: 9  C15A160F_Y
-60.06	0.624756	-60.06	-2.28588
-59.96	0.628662	-59.96	-2.28208
-59.86	0.634521	-59.86	-2.27827
-59.76	0.634521	-59.76	-2.27447
-59.66	0.624756	-59.66	-2.27066
-59.56	0.634521	-59.56	-2.26685
-59.46	0.62085	-59.46	-2.26305
-59.36	0.61499	-59.36	-2.25924
-59.26	0.61499	-59.26	-2.25544
-59.16	0.611084	-59.16	-2.25163
-59.06	0.605225	-59.06	-2.24782
-58.96	0.605225	-58.96	-2.24402
-58.86	0.609131	-58.86	-2.24021
-58.76	0.61499	-58.76	-2.23641
-58.66	0.61499	-58.66	-2.2326
-58.56	0.605225	-58.56	-2.22879
-58.46	0.605225	-58.46	-2.22499
-58.36	0.609131	-58.36	-2.22118
-58.26	0.61499	-58.26	-2.21738
-58.16	0.61499	-58.16	-2.21357
-58.06	0.61499	-58.06	-2.20976
-57.96	0.605225	-57.96	-2.20596
-57.86	0.605225	-57.86	-2.20215
-57.76	0.605225	-57.76	-2.19835
-57.66	0.609131	-57.66	-2.19454
-57.56	0.605225	-57.56	-2.19073
-57.46	0.605225	-57.46	-2.18693
-57.36	0.605225	-57.36	-2.18312
-57.26	0.605225	-57.26	-2.17932
-57.16	0.595459	-57.16	-2.17551
-57.06	0.595459	-57.06	-2.1717
-56.96	0.595459	-56.96	-2.1679
-56.86	0.595459	-56.86	-2.16409
-56.76	0.585693	-56.76	-2.16029
-56.66	0.5896	-56.66	-2.15648
-56.56	0.591553	-56.56	-2.15267
-56.46	0.5896	-56.46	-2.14887
-56.36	0.595459	-56.36	-2.14506
-56.26	0.591553	-56.26	-2.14126
-56.16	0.575928	-56.16	-2.13745
-56.06	0.575928	-56.06	-2.13364
-55.96	0.575928	-55.96	-2.12984
-55.86	0.575928	-55.86	-2.12603
-55.76	0.575928	-55.76	-2.12223
-55.66	0.575928	-55.66	-2.11842
-55.56	0.575928	-55.56	-2.11461
-55.46	0.564209	-55.46	-2.11081
-55.36	0.564209	-55.36	-2.107
-55.26	0.564209	-55.26	-2.1032
-55.16	0.564209	-55.16	-2.09939
-55.06	0.564209	-55.06	-2.09558
-54.96	0.550537	-54.96	-2.09178
-54.86	0.544678	-54.86	-2.08797
-54.76	0.544678	-54.76	-2.08417
-54.66	0.544678	-54.66	-2.08036
-54.56	0.544678	-54.56	-2.07655
-54.46	0.554443	-54.46	-2.07275
-54.36	0.58374	-54.36	-2.06894
-54.26	0.588379	-54.26	-2.06514
-54.16	0.599365	-54.16	-2.06133
-54.06	0.605225	-54.06	-2.05752
-53.96	0.586914	-53.96	-2.05372
-53.86	0.562256	-53.86	-2.04991
-53.76	0.529053	-53.76	-2.04611
-53.66	0.489258	-53.66	-2.0423
-53.56	0.452881	-53.56	-2.03849
-53.46	0.416992	-53.46	-2.03469
-53.36	0.400146	-53.36	-2.03088
-53.26	0.394287	-53.26	-2.02708
-53.16	0.398193	-53.16	-2.02327
-53.06	0.394287	-53.06	-2.01946
-52.96	0.394287	-52.96	-2.01566
-52.86	0.394287	-52.86	-2.01185
-52.76	0.398926	-52.76	-2.00805
-52.66	0.39624	-52.66	-2.00424
-52.56	0.383789	-52.56	-2.00043
-52.46	0.368896	-52.46	-1.99663
-52.36	0.378662	-52.36	-1.99282
-52.26	0.396973	-52.26	-1.98902
-52.16	0.417725	-52.16	-1.98521
-52.06	0.443115	-52.06	-1.9814
-51.96	0.463379	-51.96	-1.9776
-51.86	0.480225	-51.86	-1.97379
-51.76	0.48999	-51.76	-1.96999
-51.66	0.488037	-51.66	-1.96618
-51.56	0.497803	-51.56	-1.96237
-51.46	0.503662	-51.46	-1.95857
-51.36	0.507568	-51.36	-1.95476
-51.26	0.507568	-51.26	-1.95096
-51.16	0.518066	-51.16	-1.94715
-51.06	0.525146	-51.06	-1.94334
-50.96	0.529053	-50.96	-1.93954
-50.86	0.525146	-50.86	-1.93573
-50.76	0.525146	-50.76	-1.93193
-50.66	0.529053	-50.66	-1.92812
-50.56	0.538818	-50.56	-1.92431
-50.46	0.548584	-50.46	-1.92051
-50.36	0.554443	-50.36	-1.9167
-50.26	0.55835	-50.26	-1.9129
-50.16	0.554443	-50.16	-1.90909
-50.06	0.554443	-50.06	-1.90528
-49.96	0.554443	-49.96	-1.90148
-49.86	0.554443	-49.86	-1.89767
-49.76	0.554443	-49.76	-1.89387
-49.66	0.548584	-49.66	-1.89006
-49.56	0.554443	-49.56	-1.88625
-49.46	0.55835	-49.46	-1.88245
-49.36	0.55835	-49.36	-1.87864
-49.26	0.568848	-49.26	-1.87484
-49.16	0.58374	-49.16	-1.87103
-49.06	0.599365	-49.06	-1.86722
-48.96	0.595459	-48.96	-1.86342
-48.86	0.595459	-48.86	-1.85961
