Cycle: 7  C15D171A_X	Cycle: 7  C15D171A_Y	Fitted Cycle: 7  C15D171A_X	Fitted Cycle: 7  C15D171A_Y
-60.06	1.2688	-60.06	-3.07687
-59.96	1.2688	-59.96	-3.07175
-59.86	1.26489	-59.86	-3.06663
-59.76	1.25903	-59.76	-3.0615
-59.66	1.24731	-59.66	-3.05638
-59.56	1.25439	-59.56	-3.05126
-59.46	1.24731	-59.46	-3.04614
-59.36	1.2356	-59.36	-3.04101
-59.26	1.2356	-59.26	-3.03589
-59.16	1.24023	-59.16	-3.03077
-59.06	1.24731	-59.06	-3.02564
-58.96	1.24731	-58.96	-3.02052
-58.86	1.24731	-58.86	-3.0154
-58.76	1.24731	-58.76	-3.01027
-58.66	1.24731	-58.66	-3.00515
-58.56	1.24731	-58.56	-3.00003
-58.46	1.24731	-58.46	-2.99491
-58.36	1.24731	-58.36	-2.98978
-58.26	1.23755	-58.26	-2.98466
-58.16	1.23755	-58.16	-2.97954
-58.06	1.24146	-58.06	-2.97441
-57.96	1.24731	-57.96	-2.96929
-57.86	1.23755	-57.86	-2.96417
-57.76	1.24146	-57.76	-2.95904
-57.66	1.24731	-57.66	-2.95392
-57.56	1.24731	-57.56	-2.9488
-57.46	1.23364	-57.46	-2.94368
-57.36	1.22778	-57.36	-2.93855
-57.26	1.22778	-57.26	-2.93343
-57.16	1.22778	-57.16	-2.92831
-57.06	1.21802	-57.06	-2.92318
-56.96	1.21802	-56.96	-2.91806
-56.86	1.21802	-56.86	-2.91294
-56.76	1.21802	-56.76	-2.90781
-56.66	1.21411	-56.66	-2.90269
-56.56	1.20825	-56.56	-2.89757
-56.46	1.20239	-56.46	-2.89245
-56.36	1.20825	-56.36	-2.88732
-56.26	1.20825	-56.26	-2.8822
-56.16	1.19849	-56.16	-2.87708
-56.06	1.19849	-56.06	-2.87195
-55.96	1.19849	-55.96	-2.86683
-55.86	1.19849	-55.86	-2.86171
-55.76	1.19849	-55.76	-2.85658
-55.66	1.18872	-55.66	-2.85146
