Cycle: 8  C15N146A_X	Cycle: 8  C15N146A_Y	Fitted Cycle: 8  C15N146A_X	Fitted Cycle: 8  C15N146A_Y
-60.06	1.14185	-60.06	0.49045
-59.96	1.13208	-59.96	0.489633
-59.86	1.13599	-59.86	0.488817
-59.76	1.14185	-59.76	0.488
-59.66	1.13208	-59.66	0.487184
-59.56	1.13208	-59.56	0.486367
-59.46	1.12427	-59.46	0.48555
-59.36	1.11255	-59.36	0.484734
-59.26	1.11646	-59.26	0.483917
-59.16	1.11255	-59.16	0.483101
-59.06	1.11255	-59.06	0.482284
-58.96	1.11255	-58.96	0.481467
-58.86	1.11255	-58.86	0.480651
-58.76	1.11255	-58.76	0.479834
-58.66	1.10278	-58.66	0.479018
-58.56	1.10278	-58.56	0.478201
-58.46	1.10278	-58.46	0.477384
-58.36	1.10278	-58.36	0.476568
-58.26	1.10278	-58.26	0.475751
-58.16	1.10278	-58.16	0.474935
-58.06	1.10278	-58.06	0.474118
-57.96	1.10278	-57.96	0.473301
-57.86	1.09106	-57.86	0.472485
-57.76	1.09106	-57.76	0.471668
-57.66	1.09106	-57.66	0.470852
-57.56	1.09106	-57.56	0.470035
-57.46	1.0813	-57.46	0.469218
-57.36	1.0813	-57.36	0.468402
-57.26	1.0813	-57.26	0.467585
-57.16	1.07153	-57.16	0.466769
-57.06	1.07153	-57.06	0.465952
-56.96	1.07153	-56.96	0.465135
-56.86	1.07153	-56.86	0.464319
-56.76	1.07153	-56.76	0.463502
-56.66	1.06177	-56.66	0.462686
-56.56	1.06177	-56.56	0.461869
-56.46	1.06177	-56.46	0.461052
-56.36	1.06177	-56.36	0.460236
-56.26	1.052	-56.26	0.459419
-56.16	1.05981	-56.16	0.458603
-56.06	1.07153	-56.06	0.457786
-55.96	1.07153	-55.96	0.456969
-55.86	1.06177	-55.86	0.456153
-55.76	1.06177	-55.76	0.455336
-55.66	1.06177	-55.66	0.45452
-55.56	1.06567	-55.56	0.453703
-55.46	1.06177	-55.46	0.452886
-55.36	1.06177	-55.36	0.45207
-55.26	1.06177	-55.26	0.451253
-55.16	1.06177	-55.16	0.450437
-55.06	1.06177	-55.06	0.44962
-54.96	1.052	-54.96	0.448803
-54.86	1.052	-54.86	0.447987
-54.76	1.052	-54.76	0.44717
-54.66	1.052	-54.66	0.446354
-54.56	1.06055	-54.56	0.445537
-54.46	1.09497	-54.46	0.44472
-54.36	1.09692	-54.36	0.443904
-54.26	1.09497	-54.26	0.443087
-54.16	1.10474	-54.16	0.442271
-54.06	1.10864	-54.06	0.441454
-53.96	1.12817	-53.96	0.440637
-53.86	1.13989	-53.86	0.439821
-53.76	1.12036	-53.76	0.439004
-53.66	1.06104	-53.66	0.438188
-53.56	1.00635	-53.56	0.437371
-53.46	0.942627	-53.46	0.436554
-53.36	0.881348	-53.36	0.435738
-53.26	0.834473	-53.26	0.434921
-53.16	0.798096	-53.16	0.434105
-53.06	0.762939	-53.06	0.433288
-52.96	0.715332	-52.96	0.432471
-52.86	0.661377	-52.86	0.431655
-52.76	0.655518	-52.76	0.430838
-52.66	0.677002	-52.66	0.430022
-52.56	0.724609	-52.56	0.429205
-52.46	0.779297	-52.46	0.428388
-52.36	0.833252	-52.36	0.427572
-52.26	0.859375	-52.26	0.426755
-52.16	0.880127	-52.16	0.425939
-52.06	0.885986	-52.06	0.425122
-51.96	0.895752	-51.96	0.424305
-51.86	0.905518	-51.86	0.423489
-51.76	0.905518	-51.76	0.422672
-51.66	0.915283	-51.66	0.421856
-51.56	0.921143	-51.56	0.421039
-51.46	0.925781	-51.46	0.420222
-51.36	0.932861	-51.36	0.419406
-51.26	0.925049	-51.26	0.418589
-51.16	0.934814	-51.16	0.417773
-51.06	0.940674	-51.06	0.416956
-50.96	0.940674	-50.96	0.416139
-50.86	0.94458	-50.86	0.415323
-50.76	0.940674	-50.76	0.414506
-50.66	0.940674	-50.66	0.41369
-50.56	0.94458	-50.56	0.412873
-50.46	0.954346	-50.46	0.412056
-50.36	0.950439	-50.36	0.41124
-50.26	0.954346	-50.26	0.410423
-50.16	0.960205	-50.16	0.409607
-50.06	0.960205	-50.06	0.40879
-49.96	0.950439	-49.96	0.407973
-49.86	0.950439	-49.86	0.407157
-49.76	0.950439	-49.76	0.40634
-49.66	0.94458	-49.66	0.405524
-49.56	0.954346	-49.56	0.404707
-49.46	0.964844	-49.46	0.40389
-49.36	0.966064	-49.36	0.403074
-49.26	0.97583	-49.26	0.402257
-49.16	0.985596	-49.16	0.401441
-49.06	0.991455	-49.06	0.400624
-48.96	0.981689	-48.96	0.399807
-48.86	0.981689	-48.86	0.398991
-48.76	0.981689	-48.76	0.398174
-48.66	0.97583	-48.66	0.397358
-48.56	0.981689	-48.56	0.396541
-48.46	0.981689	-48.46	0.395724
-48.36	0.981689	-48.36	0.394908
-48.26	0.971924	-48.26	0.394091
-48.16	0.971924	-48.16	0.393275
-48.06	0.971924	-48.06	0.392458
-47.96	0.971924	-47.96	0.391641
-47.86	0.971924	-47.86	0.390825
-47.76	0.960205	-47.76	0.390008
-47.66	0.960205	-47.66	0.389192
-47.56	0.950439	-47.56	0.388375
-47.46	0.950439	-47.46	0.387558
-47.36	0.940674	-47.36	0.386742
-47.26	0.940674	-47.26	0.385925
-47.16	0.936768	-47.16	0.385109
-47.06	0.921143	-47.06	0.384292
-46.96	0.925049	-46.96	0.383475
-46.86	0.930908	-46.86	0.382659
-46.76	0.921143	-46.76	0.381842
-46.66	0.921143	-46.66	0.381026
-46.56	0.921143	-46.56	0.380209
-46.46	0.911377	-46.46	0.379392
-46.36	0.911377	-46.36	0.378576
-46.26	0.911377	-46.26	0.377759
-46.16	0.915283	-46.16	0.376943
-46.06	0.911377	-46.06	0.376126
-45.96	0.911377	-45.96	0.375309
-45.86	0.911377	-45.86	0.374493
-45.76	0.911377	-45.76	0.373676
-45.66	0.911377	-45.66	0.37286
-45.56	0.901611	-45.56	0.372043
-45.46	0.905518	-45.46	0.371226
-45.36	0.911377	-45.36	0.37041
-45.26	0.911377	-45.26	0.369593
-45.16	0.899658	-45.16	0.368777
-45.06	0.899658	-45.06	0.36796
-44.96	0.899658	-44.96	0.367143
-44.86	0.893799	-44.86	0.366327
-44.76	0.899658	-44.76	0.36551
-44.66	0.899658	-44.66	0.364694
-44.56	0.899658	-44.56	0.363877
-44.46	0.889893	-44.46	0.36306
-44.36	0.894531	-44.36	0.362244
-44.26	0.891846	-44.26	0.361427
-44.16	0.891846	-44.16	0.360611
-44.06	0.891846	-44.06	0.359794
-43.96	0.891846	-43.96	0.358977
-43.86	0.885986	-43.86	0.358161
-43.76	0.891846	-43.76	0.357344
-43.66	0.891846	-43.66	0.356528
-43.56	0.88208	-43.56	0.355711
-43.46	0.88208	-43.46	0.354894
-43.36	0.88208	-43.36	0.354078
-43.26	0.885986	-43.26	0.353261
-43.16	0.88208	-43.16	0.352445
-43.06	0.88208	-43.06	0.351628
-42.96	0.88208	-42.96	0.350811
-42.86	0.876221	-42.86	0.349995
-42.76	0.88208	-42.76	0.349178
-42.66	0.88208	-42.66	0.348362
-42.56	0.870361	-42.56	0.347545
-42.46	0.870361	-42.46	0.346728
-42.36	0.870361	-42.36	0.345912
-42.26	0.860596	-42.26	0.345095
-42.16	0.860596	-42.16	0.344279
-42.06	0.864502	-42.06	0.343462
-41.96	0.860596	-41.96	0.342645
-41.86	0.860596	-41.86	0.341829
-41.76	0.860596	-41.76	0.341012
-41.66	0.854736	-41.66	0.340196
-41.56	0.860596	-41.56	0.339379
-41.46	0.85083	-41.46	0.338562
-41.36	0.85083	-41.36	0.337746
-41.26	0.85083	-41.26	0.336929
-41.16	0.844971	-41.16	0.336113
-41.06	0.85083	-41.06	0.335296
