Cycle: 5  C15R26E_X	Cycle: 5  C15R26E_Y	Fitted Cycle: 5  C15R26E_X	Fitted Cycle: 5  C15R26E_Y
-60.06	1.48462	-60.06	1.04024
-59.96	1.48071	-59.96	1.03851
-59.86	1.47485	-59.86	1.03678
-59.76	1.47485	-59.76	1.03504
-59.66	1.47485	-59.66	1.03331
-59.56	1.47485	-59.56	1.03158
-59.46	1.47095	-59.46	1.02985
-59.36	1.46509	-59.36	1.02812
-59.26	1.46509	-59.26	1.02638
-59.16	1.46509	-59.16	1.02465
-59.06	1.45532	-59.06	1.02292
-58.96	1.46509	-58.96	1.02119
-58.86	1.46509	-58.86	1.01946
-58.76	1.46509	-58.76	1.01772
-58.66	1.46045	-58.66	1.01599
-58.56	1.45337	-58.56	1.01426
-58.46	1.45337	-58.46	1.01253
-58.36	1.45337	-58.36	1.0108
-58.26	1.45337	-58.26	1.00906
-58.16	1.4436	-58.16	1.00733
-58.06	1.4436	-58.06	1.0056
-57.96	1.4436	-57.96	1.00387
-57.86	1.44824	-57.86	1.00214
-57.76	1.45532	-57.76	1.0004
-57.66	1.45532	-57.66	0.998671
-57.56	1.45532	-57.56	0.996939
-57.46	1.44556	-57.46	0.995207
-57.36	1.44556	-57.36	0.993475
-57.26	1.44556	-57.26	0.991743
-57.16	1.44556	-57.16	0.990011
-57.06	1.44556	-57.06	0.988279
-56.96	1.44556	-56.96	0.986547
-56.86	1.44556	-56.86	0.984815
-56.76	1.44556	-56.76	0.983083
-56.66	1.44556	-56.66	0.981351
-56.56	1.43579	-56.56	0.979619
-56.46	1.43579	-56.46	0.977887
-56.36	1.43579	-56.36	0.976155
-56.26	1.43579	-56.26	0.974423
-56.16	1.43579	-56.16	0.972691
-56.06	1.43115	-56.06	0.970959
-55.96	1.42407	-55.96	0.969227
-55.86	1.41431	-55.86	0.967495
-55.76	1.41431	-55.76	0.965763
-55.66	1.41431	-55.66	0.964031
-55.56	1.41431	-55.56	0.962299
-55.46	1.4104	-55.46	0.960567
-55.36	1.40454	-55.36	0.958835
-55.26	1.40454	-55.26	0.957103
-55.16	1.4248	-55.16	0.955371
-55.06	1.45532	-55.06	0.953639
-54.96	1.44751	-54.96	0.951907
-54.86	1.46118	-54.86	0.950175
-54.76	1.47681	-54.76	0.948443
-54.66	1.48267	-54.66	0.946711
-54.56	1.4873	-54.56	0.944979
-54.46	1.48193	-54.46	0.943247
-54.36	1.4436	-54.36	0.941515
-54.26	1.39014	-54.26	0.939783
-54.16	1.31982	-54.16	0.938051
-54.06	1.25928	-54.06	0.936319
-53.96	1.20337	-53.96	0.934587
-53.86	1.16162	-53.86	0.932855
-53.76	1.14282	-53.76	0.931123
-53.66	1.10693	-53.66	0.929391
-53.56	1.04907	-53.56	0.927659
-53.46	1.04321	-53.46	0.925927
-53.36	1.0498	-53.36	0.924195
-53.26	1.09399	-53.26	0.922463
-53.16	1.14355	-53.16	0.920731
-53.06	1.18579	-53.06	0.918999
-52.96	1.21191	-52.96	0.917267
-52.86	1.21899	-52.86	0.915535
-52.76	1.22876	-52.76	0.913803
-52.66	1.23853	-52.66	0.912071
-52.56	1.2522	-52.56	0.910339
-52.46	1.26782	-52.46	0.908607
-52.36	1.27368	-52.36	0.906875
-52.26	1.26782	-52.26	0.905143
-52.16	1.27832	-52.16	0.903411
-52.06	1.2854	-52.06	0.901679
-51.96	1.28931	-51.96	0.899947
-51.86	1.29517	-51.86	0.898215
-51.76	1.28931	-51.76	0.896483
-51.66	1.29907	-51.66	0.894751
-51.56	1.30493	-51.56	0.893019
-51.46	1.30493	-51.46	0.891287
-51.36	1.29517	-51.36	0.889555
-51.26	1.29517	-51.26	0.887823
-51.16	1.29907	-51.16	0.886091
-51.06	1.30493	-51.06	0.884359
-50.96	1.30884	-50.96	0.882627
-50.86	1.30493	-50.86	0.880895
-50.76	1.30884	-50.76	0.879163
-50.66	1.3147	-50.66	0.877431
-50.56	1.3186	-50.56	0.875699
-50.46	1.31665	-50.46	0.873967
-50.36	1.32251	-50.36	0.872235
-50.26	1.33105	-50.26	0.870503
-50.16	1.33423	-50.16	0.868771
-50.06	1.33813	-50.06	0.867039
-49.96	1.34399	-49.96	0.865307
-49.86	1.33423	-49.86	0.863575
-49.76	1.33423	-49.76	0.861843
-49.66	1.33423	-49.66	0.860111
-49.56	1.33813	-49.56	0.858379
-49.46	1.34399	-49.46	0.856647
-49.36	1.33423	-49.36	0.854915
-49.26	1.33423	-49.26	0.853183
-49.16	1.33423	-49.16	0.851451
-49.06	1.33423	-49.06	0.849719
-48.96	1.32446	-48.96	0.847987
-48.86	1.32446	-48.86	0.846255
-48.76	1.32446	-48.76	0.844523
-48.66	1.3186	-48.66	0.842791
-48.56	1.32446	-48.56	0.841059
-48.46	1.32446	-48.46	0.839327
-48.36	1.32446	-48.36	0.837595
-48.26	1.3147	-48.26	0.835863
-48.16	1.3147	-48.16	0.834131
-48.06	1.30493	-48.06	0.832399
-47.96	1.30493	-47.96	0.830667
-47.86	1.29321	-47.86	0.828935
-47.76	1.29321	-47.76	0.827203
-47.66	1.29321	-47.66	0.825471
-47.56	1.28345	-47.56	0.823739
-47.46	1.28345	-47.46	0.822007
-47.36	1.28735	-47.36	0.820275
-47.26	1.29321	-47.26	0.818543
-47.16	1.28345	-47.16	0.816811
-47.06	1.28345	-47.06	0.815079
-46.96	1.28345	-46.96	0.813347
-46.86	1.27368	-46.86	0.811615
-46.76	1.27368	-46.76	0.809883
-46.66	1.27368	-46.66	0.808151
-46.56	1.26392	-46.56	0.806419
-46.46	1.26392	-46.46	0.804687
-46.36	1.26392	-46.36	0.802955
-46.26	1.26392	-46.26	0.801223
-46.16	1.25806	-46.16	0.799491
-46.06	1.26392	-46.06	0.797759
-45.96	1.26392	-45.96	0.796027
-45.86	1.25415	-45.86	0.794295
-45.76	1.25806	-45.76	0.792563
-45.66	1.26392	-45.66	0.790831
-45.56	1.25415	-45.56	0.789099
-45.46	1.25415	-45.46	0.787367
-45.36	1.25415	-45.36	0.785635
