Cycle: 4  c15-c089_X	Cycle: 4  c15-c089_Y	Fitted Cycle: 4  c15-c089_X	Fitted Cycle: 4  c15-c089_Y
-60.06	0.0648193	-60.06	-3.84624
-59.96	0.0648193	-59.96	-3.83984
-59.86	0.074585	-59.86	-3.83343
-59.76	0.074585	-59.76	-3.82703
-59.66	0.074585	-59.66	-3.82063
-59.56	0.074585	-59.56	-3.81422
-59.46	0.074585	-59.46	-3.80782
-59.36	0.074585	-59.36	-3.80141
-59.26	0.0843506	-59.26	-3.79501
-59.16	0.0843506	-59.16	-3.78861
-59.06	0.0843506	-59.06	-3.7822
-58.96	0.0941162	-58.96	-3.7758
-58.86	0.0941162	-58.86	-3.76939
-58.76	0.0941162	-58.76	-3.76299
-58.66	0.0941162	-58.66	-3.75659
-58.56	0.0941162	-58.56	-3.75018
-58.46	0.0941162	-58.46	-3.74378
-58.36	0.0941162	-58.36	-3.73737
-58.26	0.09021	-58.26	-3.73097
-58.16	0.0960693	-58.16	-3.72457
-58.06	0.0960693	-58.06	-3.71816
-57.96	0.0921631	-57.96	-3.71176
-57.86	0.09021	-57.86	-3.70535
-57.76	0.0999756	-57.76	-3.69895
-57.66	0.105835	-57.66	-3.69255
-57.56	0.105835	-57.56	-3.68614
-57.46	0.115601	-57.46	-3.67974
-57.36	0.115601	-57.36	-3.67333
-57.26	0.111694	-57.26	-3.66693
-57.16	0.109741	-57.16	-3.66053
-57.06	0.111694	-57.06	-3.65412
-56.96	0.105835	-56.96	-3.64772
-56.86	0.109741	-56.86	-3.64131
-56.76	0.115601	-56.76	-3.63491
-56.66	0.125366	-56.66	-3.62851
-56.56	0.125366	-56.56	-3.6221
-56.46	0.125366	-56.46	-3.6157
-56.36	0.125366	-56.36	-3.60929
-56.26	0.125366	-56.26	-3.60289
-56.16	0.129272	-56.16	-3.59649
-56.06	0.135132	-56.06	-3.59008
-55.96	0.135132	-55.96	-3.58368
-55.86	0.135132	-55.86	-3.57727
-55.76	0.131226	-55.76	-3.57087
-55.66	0.125366	-55.66	-3.56447
-55.56	0.125366	-55.56	-3.55806
-55.46	0.125366	-55.46	-3.55166
-55.36	0.151489	-55.36	-3.54525
-55.26	0.176147	-55.26	-3.53885
-55.16	0.18396	-55.16	-3.53245
-55.06	0.199585	-55.06	-3.52604
-54.96	0.213257	-54.96	-3.51964
-54.86	0.221069	-54.86	-3.51323
-54.76	0.203491	-54.76	-3.50683
-54.66	0.179321	-54.66	-3.50043
-54.56	0.131226	-54.56	-3.49402
-54.46	0.0797119	-54.46	-3.48762
-54.36	0.0355225	-54.36	-3.48121
-54.26	-6.22559e-3	-54.26	-3.47481
-54.16	-0.0328369	-54.16	-3.46841
-54.06	-0.0484619	-54.06	-3.462
-53.96	-0.0582275	-53.96	-3.4556
-53.86	-0.0640869	-53.86	-3.44919
-53.76	-0.0960693	-53.76	-3.44279
-53.66	-0.138306	-53.66	-3.43639
-53.56	-0.144165	-53.56	-3.42998
-53.46	-0.124634	-53.46	-3.42358
-53.36	-0.071167	-53.36	-3.41717
