Cycle: 11  CDAN-1032A_X	Cycle: 11  CDAN-1032A_Y	Fitted Cycle: 11  CDAN-1032A_X	Fitted Cycle: 11  CDAN-1032A_Y
-60.02	1.18823	-60.02	-3.001
-59.92	1.18823	-59.92	-2.996
-59.82	1.18823	-59.82	-2.991
-59.72	1.18628	-59.72	-2.986
-59.62	1.18823	-59.62	-2.981
-59.52	1.17651	-59.52	-2.976
-59.42	1.17651	-59.42	-2.971
-59.32	1.17651	-59.32	-2.966
-59.22	1.16675	-59.22	-2.961
-59.12	1.15894	-59.12	-2.956
-59.02	1.14722	-59.02	-2.951
-58.92	1.14722	-58.92	-2.946
-58.82	1.13745	-58.82	-2.941
-58.72	1.13745	-58.72	-2.936
-58.62	1.12769	-58.62	-2.931
-58.52	1.12573	-58.52	-2.926
-58.42	1.12769	-58.42	-2.921
-58.32	1.11792	-58.32	-2.916
-58.22	1.11792	-58.22	-2.911
-58.12	1.10815	-58.12	-2.906
-58.02	1.12378	-58.02	-2.901
-57.92	1.11597	-57.92	-2.896
-57.82	1.11597	-57.82	-2.891
-57.72	1.11597	-57.72	-2.886
-57.62	1.1062	-57.62	-2.881
-57.52	1.1062	-57.52	-2.876
-57.42	1.09644	-57.42	-2.871
-57.32	1.09644	-57.32	-2.866
-57.22	1.09644	-57.22	-2.861
-57.12	1.09595	-57.12	-2.856
-57.02	1.09839	-57.02	-2.851
-56.92	1.08862	-56.92	-2.846
-56.82	1.08862	-56.82	-2.841
-56.72	1.07886	-56.72	-2.836
-56.62	1.07886	-56.62	-2.831
-56.52	1.08667	-56.52	-2.826
-56.42	1.07886	-56.42	-2.821
-56.32	1.07886	-56.32	-2.816
-56.22	1.07886	-56.22	-2.811
-56.12	1.06909	-56.12	-2.806
-56.02	1.0769	-56.02	-2.801
-55.92	1.06714	-55.92	-2.796
-55.82	1.06714	-55.82	-2.791
-55.72	1.06714	-55.72	-2.786
-55.62	1.05737	-55.62	-2.781
-55.52	1.05737	-55.52	-2.776
-55.42	1.05737	-55.42	-2.771
-55.32	1.04761	-55.32	-2.766
-55.22	1.04761	-55.22	-2.761
-55.12	1.03784	-55.12	-2.756
-55.02	1.03784	-55.02	-2.751
-54.92	1.03784	-54.92	-2.746
-54.82	1.02808	-54.82	-2.741
-54.72	1.02808	-54.72	-2.736
-54.62	1.01831	-54.62	-2.731
-54.52	1.01831	-54.52	-2.726
-54.42	1.01831	-54.42	-2.721
-54.32	1.01636	-54.32	-2.716
-54.22	1.0105	-54.22	-2.711
-54.12	1.05688	-54.12	-2.706
-54.02	1.06714	-54.02	-2.701
-53.92	1.0769	-53.92	-2.696
-53.82	1.09448	-53.82	-2.691
-53.72	1.09644	-53.72	-2.686
-53.62	1.1062	-53.62	-2.681
-53.52	1.08862	-53.52	-2.676
-53.42	1.05542	-53.42	-2.671
-53.32	0.997314	-53.32	-2.666
-53.22	0.955811	-53.22	-2.661
-53.12	0.915283	-53.12	-2.656
-53.02	0.865967	-53.02	-2.651
-52.92	0.833252	-52.92	-2.646
-52.82	0.817139	-52.82	-2.641
-52.72	0.809326	-52.72	-2.636
-52.62	0.807373	-52.62	-2.631
-52.52	0.741455	-52.52	-2.626
-52.42	0.719482	-52.42	-2.621
-52.32	0.699951	-52.32	-2.616
-52.22	0.713623	-52.22	-2.611
-52.12	0.765869	-52.12	-2.606
-52.02	0.801025	-52.02	-2.601
-51.92	0.824951	-51.92	-2.596
-51.82	0.834717	-51.82	-2.591
-51.72	0.846436	-51.72	-2.586
-51.62	0.856201	-51.62	-2.581
-51.52	0.846436	-51.52	-2.576
-51.42	0.854248	-51.42	-2.571
-51.32	0.864014	-51.32	-2.566
-51.22	0.865479	-51.22	-2.561
-51.12	0.875732	-51.12	-2.556
-51.02	0.86792	-51.02	-2.551
-50.92	0.875732	-50.92	-2.546
-50.82	0.875732	-50.82	-2.541
-50.72	0.877686	-50.72	-2.536
-50.62	0.86792	-50.62	-2.531
-50.52	0.875732	-50.52	-2.526
-50.42	0.885498	-50.42	-2.521
-50.32	0.885498	-50.32	-2.516
-50.22	0.895264	-50.22	-2.511
-50.12	0.887451	-50.12	-2.506
-50.02	0.896729	-50.02	-2.501
-49.92	0.89917	-49.92	-2.496
-49.82	0.897217	-49.82	-2.491
-49.72	0.89917	-49.72	-2.486
-49.62	0.887451	-49.62	-2.481
-49.52	0.887451	-49.52	-2.476
-49.42	0.877686	-49.42	-2.471
-49.32	0.877686	-49.32	-2.466
-49.22	0.885498	-49.22	-2.461
-49.12	0.885498	-49.12	-2.456
-49.02	0.887451	-49.02	-2.451
-48.92	0.877686	-48.92	-2.446
-48.82	0.877686	-48.82	-2.441
-48.72	0.875732	-48.72	-2.436
-48.62	0.877686	-48.62	-2.431
-48.52	0.877686	-48.52	-2.426
-48.42	0.86792	-48.42	-2.421
-48.32	0.875732	-48.32	-2.416
-48.22	0.86792	-48.22	-2.411
-48.12	0.86792	-48.12	-2.406
-48.02	0.865967	-48.02	-2.401
-47.92	0.875732	-47.92	-2.396
-47.82	0.886963	-47.82	-2.391
-47.72	0.879639	-47.72	-2.386
-47.62	0.887451	-47.62	-2.381
-47.52	0.889404	-47.52	-2.376
-47.42	0.889404	-47.42	-2.371
-47.32	0.885498	-47.32	-2.366
-47.22	0.887451	-47.22	-2.361
-47.12	0.877686	-47.12	-2.356
-47.02	0.877686	-47.02	-2.351
-46.92	0.885498	-46.92	-2.346
-46.82	0.877686	-46.82	-2.341
-46.72	0.877686	-46.72	-2.336
-46.62	0.877686	-46.62	-2.331
-46.52	0.875732	-46.52	-2.326
-46.42	0.877686	-46.42	-2.321
-46.32	0.86792	-46.32	-2.316
-46.22	0.86792	-46.22	-2.311
-46.12	0.86792	-46.12	-2.306
-46.02	0.858154	-46.02	-2.301
-45.92	0.865967	-45.92	-2.296
-45.82	0.86792	-45.82	-2.291
-45.72	0.858154	-45.72	-2.286
-45.62	0.858154	-45.62	-2.281
-45.52	0.848389	-45.52	-2.276
-45.42	0.848389	-45.42	-2.271
-45.32	0.856201	-45.32	-2.266
-45.22	0.858154	-45.22	-2.261
-45.12	0.846436	-45.12	-2.256
-45.02	0.846436	-45.02	-2.251
-44.92	0.844482	-44.92	-2.246
-44.82	0.846436	-44.82	-2.241
-44.72	0.844482	-44.72	-2.236
-44.62	0.846436	-44.62	-2.231
-44.52	0.83667	-44.52	-2.226
-44.42	0.845947	-44.42	-2.221
-44.32	0.848389	-44.32	-2.216
-44.22	0.838623	-44.22	-2.211
-44.12	0.846436	-44.12	-2.206
-44.02	0.838623	-44.02	-2.201
-43.92	0.838623	-43.92	-2.196
-43.82	0.846436	-43.82	-2.191
-43.72	0.838623	-43.72	-2.186
-43.62	0.838623	-43.62	-2.181
-43.52	0.828857	-43.52	-2.176
-43.42	0.83667	-43.42	-2.171
-43.32	0.838623	-43.32	-2.166
-43.22	0.834717	-43.22	-2.161
-43.12	0.83667	-43.12	-2.156
-43.02	0.83667	-43.02	-2.151
-42.92	0.834717	-42.92	-2.146
-42.82	0.83667	-42.82	-2.141
-42.72	0.826904	-42.72	-2.136
-42.62	0.826904	-42.62	-2.131
-42.52	0.824951	-42.52	-2.126
-42.42	0.826904	-42.42	-2.121
-42.32	0.817139	-42.32	-2.116
-42.22	0.817139	-42.22	-2.111
-42.12	0.824951	-42.12	-2.106
-42.02	0.817139	-42.02	-2.101
-41.92	0.817139	-41.92	-2.096
-41.82	0.817139	-41.82	-2.091
-41.72	0.81665	-41.72	-2.086
-41.62	0.819092	-41.62	-2.081
-41.52	0.817139	-41.52	-2.076
-41.42	0.819092	-41.42	-2.071
-41.32	0.826904	-41.32	-2.066
-41.22	0.819092	-41.22	-2.061
-41.12	0.819092	-41.12	-2.056
-41.02	0.826904	-41.02	-2.051
-40.92	0.817139	-40.92	-2.046
-40.82	0.824951	-40.82	-2.041
-40.72	0.826904	-40.72	-2.036
-40.62	0.824951	-40.62	-2.031
-40.52	0.826904	-40.52	-2.026
-40.42	0.817139	-40.42	-2.021
-40.32	0.824951	-40.32	-2.016
-40.22	0.826904	-40.22	-2.011
-40.12	0.817139	-40.12	-2.006
-40.02	0.817139	-40.02	-2.001
-39.92	0.824951	-39.92	-1.996
-39.82	0.817139	-39.82	-1.991
-39.72	0.817139	-39.72	-1.986
-39.62	0.826416	-39.62	-1.981
-39.52	0.819092	-39.52	-1.976
-39.42	0.819092	-39.42	-1.971
-39.32	0.809326	-39.32	-1.966
-39.22	0.817139	-39.22	-1.961
-39.12	0.819092	-39.12	-1.956
-39.02	0.817139	-39.02	-1.951
-38.92	0.819092	-38.92	-1.946
-38.82	0.819092	-38.82	-1.941
-38.72	0.826904	-38.72	-1.936
-38.62	0.817139	-38.62	-1.931
-38.52	0.817139	-38.52	-1.926
-38.42	0.807373	-38.42	-1.921
-38.32	0.815186	-38.32	-1.916
-38.22	0.817139	-38.22	-1.911
-38.12	0.815186	-38.12	-1.906
-38.02	0.817139	-38.02	-1.901
-37.92	0.817139	-37.92	-1.896
-37.82	0.815186	-37.82	-1.891
-37.72	0.817139	-37.72	-1.886
-37.62	0.817139	-37.62	-1.881
-37.52	0.815186	-37.52	-1.876
-37.42	0.817139	-37.42	-1.871
-37.32	0.807373	-37.32	-1.866
-37.22	0.815186	-37.22	-1.861
-37.12	0.817139	-37.12	-1.856
-37.02	0.81665	-37.02	-1.851
-36.92	0.819092	-36.92	-1.846
-36.82	0.809326	-36.82	-1.841
-36.72	0.809326	-36.72	-1.836
-36.62	0.817139	-36.62	-1.831
-36.52	0.807373	-36.52	-1.826
-36.42	0.807373	-36.42	-1.821
-36.32	0.807373	-36.32	-1.816
-36.22	0.80542	-36.22	-1.811
-36.12	0.807373	-36.12	-1.806
-36.02	0.815186	-36.02	-1.801
-35.92	0.807373	-35.92	-1.796
-35.82	0.807373	-35.82	-1.791
-35.72	0.815186	-35.72	-1.786
-35.62	0.807373	-35.62	-1.781
-35.52	0.807373	-35.52	-1.776
-35.42	0.807373	-35.42	-1.771
-35.32	0.80542	-35.32	-1.766
-35.22	0.807373	-35.22	-1.761
-35.12	0.797607	-35.12	-1.756
-35.02	0.797607	-35.02	-1.751
-34.92	0.80542	-34.92	-1.746
-34.82	0.789795	-34.82	-1.741
-34.72	0.787842	-34.72	-1.736
-34.62	0.795654	-34.62	-1.731
-34.52	0.787842	-34.52	-1.726
-34.42	0.787842	-34.42	-1.721
-34.32	0.778076	-34.32	-1.716
-34.22	0.778076	-34.22	-1.711
-34.12	0.785889	-34.12	-1.706
-34.02	0.787842	-34.02	-1.701
-33.92	0.776123	-33.92	-1.696
-33.82	0.776123	-33.82	-1.691
-33.72	0.776123	-33.72	-1.686
-33.62	0.775635	-33.62	-1.681
-33.52	0.778076	-33.52	-1.676
-33.42	0.778076	-33.42	-1.671
-33.32	0.768311	-33.32	-1.666
-33.22	0.768311	-33.22	-1.661
-33.12	0.768311	-33.12	-1.656
-33.02	0.758545	-33.02	-1.651
-32.92	0.758545	-32.92	-1.646
-32.82	0.766357	-32.82	-1.641
-32.72	0.758545	-32.72	-1.636
-32.62	0.758545	-32.62	-1.631
-32.52	0.758545	-32.52	-1.626
-32.42	0.748779	-32.42	-1.621
-32.32	0.748779	-32.32	-1.616
-32.22	0.739014	-32.22	-1.611
