Cycle: 14  CDAN-D1043K_X	Cycle: 14  CDAN-D1043K_Y	Fitted Cycle: 14  CDAN-D1043K_X	Fitted Cycle: 14  CDAN-D1043K_Y
-60.02	1.92725	-60.02	-3.001
-59.92	1.92725	-59.92	-2.996
-59.82	1.92334	-59.82	-2.991
-59.72	1.92529	-59.72	-2.986
-59.62	1.91553	-59.62	-2.981
-59.52	1.90576	-59.52	-2.976
-59.42	1.90576	-59.42	-2.971
-59.32	1.896	-59.32	-2.966
-59.22	1.896	-59.22	-2.961
-59.12	1.88623	-59.12	-2.956
-59.02	1.87646	-59.02	-2.951
-58.92	1.8667	-58.92	-2.946
-58.82	1.85889	-58.82	-2.941
-58.72	1.84717	-58.72	-2.936
-58.62	1.84717	-58.62	-2.931
-58.52	1.83545	-58.52	-2.926
-58.42	1.82568	-58.42	-2.921
-58.32	1.82568	-58.32	-2.916
-58.22	1.81592	-58.22	-2.911
-58.12	1.80615	-58.12	-2.906
-58.02	1.79639	-58.02	-2.901
-57.92	1.79639	-57.92	-2.896
-57.82	1.79443	-57.82	-2.891
-57.72	1.79639	-57.72	-2.886
-57.62	1.78662	-57.62	-2.881
-57.52	1.78662	-57.52	-2.876
-57.42	1.77686	-57.42	-2.871
-57.32	1.76514	-57.32	-2.866
-57.22	1.76514	-57.22	-2.861
-57.12	1.75537	-57.12	-2.856
-57.02	1.75537	-57.02	-2.851
-56.92	1.75342	-56.92	-2.846
-56.82	1.74561	-56.82	-2.841
-56.72	1.73584	-56.72	-2.836
-56.62	1.73584	-56.62	-2.831
-56.52	1.72607	-56.52	-2.826
-56.42	1.72607	-56.42	-2.821
-56.32	1.71631	-56.32	-2.816
-56.22	1.70654	-56.22	-2.811
-56.12	1.70654	-56.12	-2.806
-56.02	1.69678	-56.02	-2.801
-55.92	1.68506	-55.92	-2.796
-55.82	1.68506	-55.82	-2.791
-55.72	1.67529	-55.72	-2.786
-55.62	1.67529	-55.62	-2.781
-55.52	1.66553	-55.52	-2.776
-55.42	1.65576	-55.42	-2.771
-55.32	1.65576	-55.32	-2.766
-55.22	1.646	-55.22	-2.761
-55.12	1.62842	-55.12	-2.756
-55.02	1.63428	-55.02	-2.751
-54.92	1.61865	-54.92	-2.746
-54.82	1.60693	-54.82	-2.741
-54.72	1.60693	-54.72	-2.736
-54.62	1.60693	-54.62	-2.731
-54.52	1.59521	-54.52	-2.726
-54.42	1.58545	-54.42	-2.721
-54.32	1.57568	-54.32	-2.716
-54.22	1.63965	-54.22	-2.711
-54.12	1.646	-54.12	-2.706
-54.02	1.65381	-54.02	-2.701
-53.92	1.69434	-53.92	-2.696
-53.82	1.71436	-53.82	-2.691
-53.72	1.71436	-53.72	-2.686
-53.62	1.72217	-53.62	-2.681
-53.52	1.75098	-53.52	-2.676
-53.42	1.77881	-53.42	-2.671
-53.32	1.81934	-53.32	-2.666
-53.22	1.82373	-53.22	-2.661
-53.12	1.87402	-53.12	-2.656
-53.02	1.96387	-53.02	-2.651
-52.92	2.16821	-52.92	-2.646
-52.82	2.2085	-52.82	-2.641
-52.72	1.57959	-52.72	-2.636
-52.62	1.23462	-52.62	-2.631
-52.52	1.02417	-52.52	-2.626
-52.42	0.912109	-52.42	-2.621
-52.32	0.928711	-52.32	-2.616
-52.22	1.03809	-52.22	-2.611
-52.12	1.14526	-52.12	-2.606
-52.02	1.22363	-52.02	-2.601
-51.92	1.29199	-51.92	-2.596
-51.82	1.37207	-51.82	-2.591
-51.72	1.39209	-51.72	-2.586
-51.62	1.40186	-51.62	-2.581
-51.52	1.42139	-51.52	-2.576
-51.42	1.43115	-51.42	-2.571
-51.32	1.43457	-51.32	-2.566
-51.22	1.44482	-51.22	-2.561
-51.12	1.43701	-51.12	-2.556
-51.02	1.43506	-51.02	-2.551
-50.92	1.44482	-50.92	-2.546
-50.82	1.44482	-50.82	-2.541
-50.72	1.44482	-50.72	-2.536
-50.62	1.44678	-50.62	-2.531
-50.52	1.44287	-50.52	-2.526
-50.42	1.44482	-50.42	-2.521
-50.32	1.44287	-50.32	-2.516
-50.22	1.45215	-50.22	-2.511
-50.12	1.46436	-50.12	-2.506
-50.02	1.45654	-50.02	-2.501
-49.92	1.45654	-49.92	-2.496
-49.82	1.45459	-49.82	-2.491
-49.72	1.45459	-49.72	-2.486
-49.62	1.46436	-49.62	-2.481
-49.52	1.47217	-49.52	-2.476
-49.42	1.47559	-49.42	-2.471
-49.32	1.49365	-49.32	-2.466
-49.22	1.48584	-49.22	-2.461
