Cycle: 15  CDAN-D1080A_X	Cycle: 15  CDAN-D1080A_Y	Fitted Cycle: 15  CDAN-D1080A_X	Fitted Cycle: 15  CDAN-D1080A_Y
-60.02	2.20361	-60.02	-3.001
-59.92	2.1958	-59.92	-2.996
-59.82	2.18604	-59.82	-2.991
-59.72	2.18604	-59.72	-2.986
-59.62	2.18213	-59.62	-2.981
-59.52	2.17432	-59.52	-2.976
-59.42	2.16455	-59.42	-2.971
-59.32	2.16455	-59.32	-2.966
-59.22	2.15479	-59.22	-2.961
-59.12	2.15283	-59.12	-2.956
-59.02	2.14502	-59.02	-2.951
-58.92	2.14502	-58.92	-2.946
-58.82	2.14502	-58.82	-2.941
-58.72	2.13525	-58.72	-2.936
-58.62	2.11768	-58.62	-2.931
-58.52	2.11572	-58.52	-2.926
-58.42	2.11572	-58.42	-2.921
-58.32	2.11182	-58.32	-2.916
-58.22	2.104	-58.22	-2.911
-58.12	2.104	-58.12	-2.906
-58.02	2.09424	-58.02	-2.901
-57.92	2.08447	-57.92	-2.896
-57.82	2.09229	-57.82	-2.891
-57.72	2.08447	-57.72	-2.886
-57.62	2.07471	-57.62	-2.881
-57.52	2.07471	-57.52	-2.876
-57.42	2.06494	-57.42	-2.871
-57.32	2.05518	-57.32	-2.866
-57.22	2.04346	-57.22	-2.861
-57.12	2.05127	-57.12	-2.856
-57.02	2.04346	-57.02	-2.851
-56.92	2.04346	-56.92	-2.846
-56.82	2.03369	-56.82	-2.841
-56.72	2.02393	-56.72	-2.836
-56.62	2.02393	-56.62	-2.831
-56.52	2.02197	-56.52	-2.826
-56.42	2.01416	-56.42	-2.821
-56.32	2.01367	-56.32	-2.816
-56.22	2.01611	-56.22	-2.811
-56.12	2.00635	-56.12	-2.806
-56.02	2.01416	-56.02	-2.801
-55.92	2.00635	-55.92	-2.796
-55.82	1.99463	-55.82	-2.791
-55.72	1.99463	-55.72	-2.786
-55.62	1.99268	-55.62	-2.781
-55.52	1.98486	-55.52	-2.776
-55.42	1.98486	-55.42	-2.771
-55.32	1.9751	-55.32	-2.766
-55.22	1.96533	-55.22	-2.761
-55.12	1.95557	-55.12	-2.756
-55.02	1.95557	-55.02	-2.751
-54.92	1.9458	-54.92	-2.746
-54.82	1.93604	-54.82	-2.741
-54.72	1.93604	-54.72	-2.736
-54.62	1.93213	-54.62	-2.731
-54.52	1.92432	-54.52	-2.726
-54.42	1.92432	-54.42	-2.721
-54.32	1.91455	-54.32	-2.716
-54.22	1.90479	-54.22	-2.711
-54.12	1.90479	-54.12	-2.706
-54.02	1.89502	-54.02	-2.701
-53.92	1.88525	-53.92	-2.696
-53.82	1.88525	-53.82	-2.691
-53.72	1.89111	-53.72	-2.686
-53.62	1.90869	-53.62	-2.681
-53.52	1.92383	-53.52	-2.676
-53.42	1.92236	-53.42	-2.671
-53.32	1.93994	-53.32	-2.666
-53.22	1.94189	-53.22	-2.661
-53.12	1.93408	-53.12	-2.656
-53.02	1.90283	-53.02	-2.651
-52.92	1.84473	-52.92	-2.646
-52.82	1.78418	-52.82	-2.641
-52.72	1.74268	-52.72	-2.636
-52.62	1.69238	-52.62	-2.631
-52.52	1.65088	-52.52	-2.626
-52.42	1.61182	-52.42	-2.621
-52.32	1.60596	-52.32	-2.616
-52.22	1.59619	-52.22	-2.611
-52.12	1.59619	-52.12	-2.606
-52.02	1.52051	-52.02	-2.601
-51.92	1.48682	-51.92	-2.596
-51.82	1.48486	-51.82	-2.591
-51.72	1.51416	-51.72	-2.586
-51.62	1.5625	-51.62	-2.581
-51.52	1.59814	-51.52	-2.576
-51.42	1.61133	-51.42	-2.571
-51.32	1.62158	-51.32	-2.566
-51.22	1.64111	-51.22	-2.561
-51.12	1.64307	-51.12	-2.556
-51.02	1.65088	-51.02	-2.551
-50.92	1.66406	-50.92	-2.546
-50.82	1.65479	-50.82	-2.541
-50.72	1.67041	-50.72	-2.536
-50.62	1.67236	-50.62	-2.531
-50.52	1.66455	-50.52	-2.526
-50.42	1.66455	-50.42	-2.521
-50.32	1.6626	-50.32	-2.516
-50.22	1.6626	-50.22	-2.511
-50.12	1.67236	-50.12	-2.506
-50.02	1.67236	-50.02	-2.501
-49.92	1.66455	-49.92	-2.496
-49.82	1.67236	-49.82	-2.491
-49.72	1.66455	-49.72	-2.486
-49.62	1.65283	-49.62	-2.481
-49.52	1.65283	-49.52	-2.476
-49.42	1.65234	-49.42	-2.471
-49.32	1.64502	-49.32	-2.466
-49.22	1.64502	-49.22	-2.461
-49.12	1.64307	-49.12	-2.456
-49.02	1.64307	-49.02	-2.451
-48.92	1.64307	-48.92	-2.446
-48.82	1.63525	-48.82	-2.441
-48.72	1.6333	-48.72	-2.436
-48.62	1.63525	-48.62	-2.431
-48.52	1.6333	-48.52	-2.426
-48.42	1.63525	-48.42	-2.421
-48.32	1.62354	-48.32	-2.416
-48.22	1.62158	-48.22	-2.411
-48.12	1.61377	-48.12	-2.406
-48.02	1.61182	-48.02	-2.401
-47.92	1.61328	-47.92	-2.396
-47.82	1.60596	-47.82	-2.391
-47.72	1.61377	-47.72	-2.386
-47.62	1.61377	-47.62	-2.381
-47.52	1.61377	-47.52	-2.376
-47.42	1.61572	-47.42	-2.371
-47.32	1.61182	-47.32	-2.366
-47.22	1.61377	-47.22	-2.361
-47.12	1.604	-47.12	-2.356
-47.02	1.60205	-47.02	-2.351
-46.92	1.59424	-46.92	-2.346
-46.82	1.58447	-46.82	-2.341
-46.72	1.59229	-46.72	-2.336
-46.62	1.58447	-46.62	-2.331
-46.52	1.57471	-46.52	-2.326
-46.42	1.56494	-46.42	-2.321
-46.32	1.56104	-46.32	-2.316
-46.22	1.56299	-46.22	-2.311
-46.12	1.55322	-46.12	-2.306
-46.02	1.54346	-46.02	-2.301
-45.92	1.55273	-45.92	-2.296
-45.82	1.54541	-45.82	-2.291
-45.72	1.53564	-45.72	-2.286
-45.62	1.53369	-45.62	-2.281
-45.52	1.53564	-45.52	-2.276
-45.42	1.53369	-45.42	-2.271
-45.32	1.52588	-45.32	-2.266
-45.22	1.53369	-45.22	-2.261
-45.12	1.52588	-45.12	-2.256
-45.02	1.52197	-45.02	-2.251
-44.92	1.52393	-44.92	-2.246
-44.82	1.51416	-44.82	-2.241
-44.72	1.51221	-44.72	-2.236
-44.62	1.51416	-44.62	-2.231
-44.52	1.51221	-44.52	-2.226
-44.42	1.50439	-44.42	-2.221
-44.32	1.50439	-44.32	-2.216
-44.22	1.50244	-44.22	-2.211
-44.12	1.49463	-44.12	-2.206
-44.02	1.49268	-44.02	-2.201
-43.92	1.49463	-43.92	-2.196
-43.82	1.48291	-43.82	-2.191
-43.72	1.49219	-43.72	-2.186
-43.62	1.48486	-43.62	-2.181
-43.52	1.4751	-43.52	-2.176
-43.42	1.47314	-43.42	-2.171
-43.32	1.4751	-43.32	-2.166
-43.22	1.46533	-43.22	-2.161
-43.12	1.46338	-43.12	-2.156
-43.02	1.45557	-43.02	-2.151
-42.92	1.45361	-42.92	-2.146
-42.82	1.45557	-42.82	-2.141
-42.72	1.45166	-42.72	-2.136
-42.62	1.44385	-42.62	-2.131
-42.52	1.44385	-42.52	-2.126
-42.42	1.44189	-42.42	-2.121
-42.32	1.43408	-42.32	-2.116
-42.22	1.43408	-42.22	-2.111
-42.12	1.43213	-42.12	-2.106
-42.02	1.42432	-42.02	-2.101
-41.92	1.43213	-41.92	-2.096
-41.82	1.42432	-41.82	-2.091
-41.72	1.42383	-41.72	-2.086
-41.62	1.42627	-41.62	-2.081
-41.52	1.42432	-41.52	-2.076
-41.42	1.41455	-41.42	-2.071
-41.32	1.41455	-41.32	-2.066
-41.22	1.4126	-41.22	-2.061
-41.12	1.40479	-41.12	-2.056
-41.02	1.4126	-41.02	-2.051
-40.92	1.4126	-40.92	-2.046
-40.82	1.40479	-40.82	-2.041
-40.72	1.40479	-40.72	-2.036
-40.62	1.40283	-40.62	-2.031
-40.52	1.39502	-40.52	-2.026
-40.42	1.40283	-40.42	-2.021
-40.32	1.39502	-40.32	-2.016
-40.22	1.3833	-40.22	-2.011
-40.12	1.39111	-40.12	-2.006
-40.02	1.3833	-40.02	-2.001
-39.92	1.37354	-39.92	-1.996
-39.82	1.38281	-39.82	-1.991
-39.72	1.37549	-39.72	-1.986
-39.62	1.36572	-39.62	-1.981
-39.52	1.35596	-39.52	-1.976
-39.42	1.36377	-39.42	-1.971
-39.32	1.35596	-39.32	-1.966
-39.22	1.354	-39.22	-1.961
-39.12	1.34424	-39.12	-1.956
-39.02	1.35205	-39.02	-1.951
-38.92	1.34424	-38.92	-1.946
-38.82	1.35205	-38.82	-1.941
-38.72	1.34424	-38.72	-1.936
-38.62	1.34424	-38.62	-1.931
-38.52	1.34229	-38.52	-1.926
-38.42	1.33447	-38.42	-1.921
-38.32	1.33447	-38.32	-1.916
-38.22	1.32471	-38.22	-1.911
-38.12	1.33252	-38.12	-1.906
-38.02	1.32471	-38.02	-1.901
-37.92	1.32275	-37.92	-1.896
-37.82	1.32471	-37.82	-1.891
-37.72	1.31494	-37.72	-1.886
-37.62	1.32275	-37.62	-1.881
-37.52	1.31299	-37.52	-1.876
-37.42	1.3125	-37.42	-1.871
-37.32	1.30518	-37.32	-1.866
-37.22	1.30518	-37.22	-1.861
-37.12	1.30322	-37.12	-1.856
-37.02	1.30518	-37.02	-1.851
-36.92	1.30322	-36.92	-1.846
-36.82	1.29541	-36.82	-1.841
-36.72	1.29541	-36.72	-1.836
-36.62	1.29346	-36.62	-1.831
-36.52	1.28564	-36.52	-1.826
-36.42	1.28564	-36.42	-1.821
-36.32	1.29346	-36.32	-1.816
-36.22	1.28369	-36.22	-1.811
-36.12	1.27393	-36.12	-1.806
-36.02	1.28174	-36.02	-1.801
-35.92	1.27393	-35.92	-1.796
-35.82	1.26416	-35.82	-1.791
-35.72	1.25439	-35.72	-1.786
-35.62	1.25439	-35.62	-1.781
-35.52	1.25244	-35.52	-1.776
-35.42	1.24463	-35.42	-1.771
-35.32	1.24463	-35.32	-1.766
-35.22	1.23486	-35.22	-1.761
-35.12	1.24268	-35.12	-1.756
-35.02	1.23291	-35.02	-1.751
-34.92	1.22314	-34.92	-1.746
-34.82	1.22314	-34.82	-1.741
-34.72	1.22266	-34.72	-1.736
-34.62	1.21533	-34.62	-1.731
-34.52	1.21533	-34.52	-1.726
-34.42	1.20557	-34.42	-1.721
-34.32	1.20361	-34.32	-1.716
-34.22	1.20557	-34.22	-1.711
-34.12	1.1958	-34.12	-1.706
-34.02	1.18604	-34.02	-1.701
-33.92	1.18604	-33.92	-1.696
-33.82	1.18408	-33.82	-1.691
-33.72	1.18604	-33.72	-1.686
-33.62	1.17432	-33.62	-1.681
-33.52	1.17432	-33.52	-1.676
-33.42	1.16455	-33.42	-1.671
-33.32	1.1626	-33.32	-1.666
-33.22	1.16455	-33.22	-1.661
-33.12	1.15479	-33.12	-1.656
-33.02	1.14502	-33.02	-1.651
-32.92	1.14502	-32.92	-1.646
-32.82	1.14307	-32.82	-1.641
-32.72	1.13525	-32.72	-1.636
-32.62	1.13525	-32.62	-1.631
-32.52	1.12549	-32.52	-1.626
-32.42	1.12549	-32.42	-1.621
-32.32	1.11377	-32.32	-1.616
-32.22	1.11377	-32.22	-1.611
-32.12	1.11182	-32.12	-1.606
-32.02	1.11377	-32.02	-1.601
-31.92	1.104	-31.92	-1.596
-31.82	1.09424	-31.82	-1.591
-31.72	1.09424	-31.72	-1.586
-31.62	1.08447	-31.62	-1.581
-31.52	1.08252	-31.52	-1.576
-31.42	1.08447	-31.42	-1.571
-31.32	1.07471	-31.32	-1.566
-31.22	1.06494	-31.22	-1.561
-31.12	1.06104	-31.12	-1.556
-31.02	1.06299	-31.02	-1.551
-30.92	1.05322	-30.92	-1.546
-30.82	1.05322	-30.82	-1.541
-30.72	1.04346	-30.72	-1.536
-30.62	1.03369	-30.62	-1.531
-30.52	1.04297	-30.52	-1.526
-30.42	1.03564	-30.42	-1.521
-30.32	1.02588	-30.32	-1.516
-30.22	1.02588	-30.22	-1.511
-30.12	1.01611	-30.12	-1.506
-30.02	1.01611	-30.02	-1.501
-29.92	1.00635	-29.92	-1.496
-29.82	0.996582	-29.82	-1.491
-29.72	1.00439	-29.72	-1.486
-29.62	0.994629	-29.62	-1.481
-29.52	0.984863	-29.52	-1.476
-29.42	0.984863	-29.42	-1.471
-29.32	0.975098	-29.32	-1.466
-29.22	0.975098	-29.22	-1.461
-29.12	0.965332	-29.12	-1.456
-29.02	0.963379	-29.02	-1.451
-28.92	0.965332	-28.92	-1.446
