Cycle: 13  CDAN-E1046A_X	Cycle: 13  CDAN-E1046A_Y	Fitted Cycle: 13  CDAN-E1046A_X	Fitted Cycle: 13  CDAN-E1046A_Y
-60.02	1.93408	-60.02	-3.001
-59.92	1.93408	-59.92	-2.996
-59.82	1.93018	-59.82	-2.991
-59.72	1.92236	-59.72	-2.986
-59.62	1.92236	-59.62	-2.981
-59.52	1.9126	-59.52	-2.976
-59.42	1.90283	-59.42	-2.971
-59.32	1.90234	-59.32	-2.966
-59.22	1.90479	-59.22	-2.961
-59.12	1.89502	-59.12	-2.956
-59.02	1.88525	-59.02	-2.951
-58.92	1.86816	-58.92	-2.946
-58.82	1.86182	-58.82	-2.941
-58.72	1.86377	-58.72	-2.936
-58.62	1.85205	-58.62	-2.931
-58.52	1.85205	-58.52	-2.926
-58.42	1.84229	-58.42	-2.921
-58.32	1.83252	-58.32	-2.916
-58.22	1.83203	-58.22	-2.911
-58.12	1.83447	-58.12	-2.906
-58.02	1.82471	-58.02	-2.901
-57.92	1.81494	-57.92	-2.896
-57.82	1.81494	-57.82	-2.891
-57.72	1.80518	-57.72	-2.886
-57.62	1.79541	-57.62	-2.881
-57.52	1.78369	-57.52	-2.876
-57.42	1.78369	-57.42	-2.871
-57.32	1.78174	-57.32	-2.866
-57.22	1.78369	-57.22	-2.861
-57.12	1.77393	-57.12	-2.856
-57.02	1.76416	-57.02	-2.851
-56.92	1.76416	-56.92	-2.846
-56.82	1.75439	-56.82	-2.841
-56.72	1.74463	-56.72	-2.836
-56.62	1.74463	-56.62	-2.831
-56.52	1.73486	-56.52	-2.826
-56.42	1.7251	-56.42	-2.821
-56.32	1.7251	-56.32	-2.816
-56.22	1.71533	-56.22	-2.811
-56.12	1.71533	-56.12	-2.806
-56.02	1.71143	-56.02	-2.801
-55.92	1.70361	-55.92	-2.796
-55.82	1.70361	-55.82	-2.791
-55.72	1.69385	-55.72	-2.786
-55.62	1.68408	-55.62	-2.781
-55.52	1.68408	-55.52	-2.776
-55.42	1.67432	-55.42	-2.771
-55.32	1.67432	-55.32	-2.766
-55.22	1.66455	-55.22	-2.761
-55.12	1.65479	-55.12	-2.756
-55.02	1.65479	-55.02	-2.751
-54.92	1.64502	-54.92	-2.746
-54.82	1.64502	-54.82	-2.741
-54.72	1.67236	-54.72	-2.736
-54.62	1.68213	-54.62	-2.731
-54.52	1.67236	-54.52	-2.726
-54.42	1.67236	-54.42	-2.721
-54.32	1.6626	-54.32	-2.716
-54.22	1.66064	-54.22	-2.711
-54.12	1.67188	-54.12	-2.706
-54.02	1.70361	-54.02	-2.701
-53.92	1.71924	-53.92	-2.696
-53.82	1.72314	-53.82	-2.691
-53.72	1.73047	-53.72	-2.686
-53.62	1.74854	-53.62	-2.681
-53.52	1.77002	-53.52	-2.676
-53.42	1.79492	-53.42	-2.671
-53.32	1.83447	-53.32	-2.666
-53.22	1.88867	-53.22	-2.661
-53.12	1.98047	-53.12	-2.656
-53.02	2.23535	-53.02	-2.651
-52.92	2.27588	-52.92	-2.646
-52.82	1.77515	-52.82	-2.641
-52.72	1.36523	-52.72	-2.636
-52.62	1.09155	-52.62	-2.631
-52.52	0.948242	-52.52	-2.626
-52.42	0.937988	-52.42	-2.621
-52.32	1.03101	-52.32	-2.616
-52.22	1.13477	-52.22	-2.611
-52.12	1.20117	-52.12	-2.606
-52.02	1.25439	-52.02	-2.601
-51.92	1.32422	-51.92	-2.596
-51.82	1.38281	-51.82	-2.591
-51.72	1.40674	-51.72	-2.586
-51.62	1.41992	-51.62	-2.581
-51.52	1.42236	-51.52	-2.576
-51.42	1.43994	-51.42	-2.571
-51.32	1.44189	-51.32	-2.566
-51.22	1.45166	-51.22	-2.561
-51.12	1.45166	-51.12	-2.556
-51.02	1.45166	-51.02	-2.551
-50.92	1.4707	-50.92	-2.546
-50.82	1.47314	-50.82	-2.541
-50.72	1.47119	-50.72	-2.536
-50.62	1.47314	-50.62	-2.531
-50.52	1.46338	-50.52	-2.526
-50.42	1.46338	-50.42	-2.521
-50.32	1.46924	-50.32	-2.516
-50.22	1.48877	-50.22	-2.511
-50.12	1.49072	-50.12	-2.506
-50.02	1.48291	-50.02	-2.501
-49.92	1.48291	-49.92	-2.496
-49.82	1.48242	-49.82	-2.491
-49.72	1.4751	-49.72	-2.486
-49.62	1.4751	-49.62	-2.481
-49.52	1.46533	-49.52	-2.476
-49.42	1.46533	-49.42	-2.471
-49.32	1.45361	-49.32	-2.466
-49.22	1.45166	-49.22	-2.461
-49.12	1.45166	-49.12	-2.456
-49.02	1.46143	-49.02	-2.451
-48.92	1.45361	-48.92	-2.446
-48.82	1.45361	-48.82	-2.441
-48.72	1.45166	-48.72	-2.436
-48.62	1.44385	-48.62	-2.431
-48.52	1.43408	-48.52	-2.426
-48.42	1.44189	-48.42	-2.421
-48.32	1.44189	-48.32	-2.416
-48.22	1.44189	-48.22	-2.411
-48.12	1.45313	-48.12	-2.406
-48.02	1.45166	-48.02	-2.401
-47.92	1.46143	-47.92	-2.396
-47.82	1.46143	-47.82	-2.391
-47.72	1.46338	-47.72	-2.386
-47.62	1.45361	-47.62	-2.381
-47.52	1.45166	-47.52	-2.376
-47.42	1.45361	-47.42	-2.371
-47.32	1.44385	-47.32	-2.366
-47.22	1.44385	-47.22	-2.361
-47.12	1.43408	-47.12	-2.356
-47.02	1.43213	-47.02	-2.351
-46.92	1.43408	-46.92	-2.346
-46.82	1.4165	-46.82	-2.341
-46.72	1.42236	-46.72	-2.336
-46.62	1.42041	-46.62	-2.331
-46.52	1.42236	-46.52	-2.326
-46.42	1.4126	-46.42	-2.321
-46.32	1.4126	-46.32	-2.316
-46.22	1.40283	-46.22	-2.311
-46.12	1.39307	-46.12	-2.306
-46.02	1.39307	-46.02	-2.301
-45.92	1.39111	-45.92	-2.296
-45.82	1.39307	-45.82	-2.291
-45.72	1.3833	-45.72	-2.286
-45.62	1.38135	-45.62	-2.281
-45.52	1.3833	-45.52	-2.276
-45.42	1.37354	-45.42	-2.271
-45.32	1.38281	-45.32	-2.266
-45.22	1.37354	-45.22	-2.261
-45.12	1.36377	-45.12	-2.256
-45.02	1.37158	-45.02	-2.251
-44.92	1.36377	-44.92	-2.246
-44.82	1.354	-44.82	-2.241
-44.72	1.36182	-44.72	-2.236
-44.62	1.354	-44.62	-2.231
-44.52	1.35205	-44.52	-2.226
-44.42	1.34424	-44.42	-2.221
-44.32	1.35205	-44.32	-2.216
-44.22	1.34424	-44.22	-2.211
-44.12	1.33447	-44.12	-2.206
-44.02	1.34229	-44.02	-2.201
-43.92	1.33252	-43.92	-2.196
-43.82	1.33057	-43.82	-2.191
-43.72	1.33252	-43.72	-2.186
-43.62	1.32275	-43.62	-2.181
-43.52	1.3208	-43.52	-2.176
-43.42	1.32275	-43.42	-2.171
-43.32	1.32227	-43.32	-2.166
-43.22	1.31494	-43.22	-2.161
-43.12	1.32275	-43.12	-2.156
-43.02	1.31494	-43.02	-2.151
-42.92	1.31299	-42.92	-2.146
-42.82	1.31494	-42.82	-2.141
-42.72	1.31104	-42.72	-2.136
-42.62	1.30322	-42.62	-2.131
-42.52	1.30322	-42.52	-2.126
-42.42	1.29346	-42.42	-2.121
-42.32	1.2915	-42.32	-2.116
-42.22	1.29346	-42.22	-2.111
-42.12	1.28369	-42.12	-2.106
-42.02	1.27393	-42.02	-2.101
-41.92	1.28174	-41.92	-2.096
-41.82	1.27393	-41.82	-2.091
-41.72	1.27197	-41.72	-2.086
-41.62	1.27393	-41.62	-2.081
-41.52	1.27002	-41.52	-2.076
-41.42	1.27197	-41.42	-2.071
-41.32	1.27148	-41.32	-2.066
-41.22	1.27393	-41.22	-2.061
-41.12	1.27197	-41.12	-2.056
-41.02	1.26416	-41.02	-2.051
-40.92	1.27197	-40.92	-2.046
-40.82	1.27197	-40.82	-2.041
-40.72	1.26416	-40.72	-2.036
-40.62	1.27197	-40.62	-2.031
-40.52	1.26416	-40.52	-2.026
-40.42	1.27197	-40.42	-2.021
-40.32	1.26416	-40.32	-2.016
-40.22	1.25439	-40.22	-2.011
-40.12	1.25439	-40.12	-2.006
-40.02	1.25049	-40.02	-2.001
-39.92	1.25244	-39.92	-1.996
-39.82	1.25049	-39.82	-1.991
-39.72	1.25244	-39.72	-1.986
-39.62	1.24268	-39.62	-1.981
-39.52	1.24072	-39.52	-1.976
-39.42	1.24268	-39.42	-1.971
-39.32	1.23291	-39.32	-1.966
-39.22	1.24219	-39.22	-1.961
-39.12	1.23486	-39.12	-1.956
-39.02	1.23291	-39.02	-1.951
-38.92	1.23486	-38.92	-1.946
-38.82	1.23291	-38.82	-1.941
-38.72	1.23486	-38.72	-1.936
-38.62	1.22314	-38.62	-1.931
-38.52	1.23096	-38.52	-1.926
-38.42	1.22314	-38.42	-1.921
-38.32	1.22314	-38.32	-1.916
-38.22	1.21338	-38.22	-1.911
-38.12	1.20361	-38.12	-1.906
-38.02	1.21143	-38.02	-1.901
-37.92	1.20361	-37.92	-1.896
-37.82	1.21143	-37.82	-1.891
-37.72	1.20361	-37.72	-1.886
-37.62	1.20361	-37.62	-1.881
-37.52	1.20166	-37.52	-1.876
-37.42	1.19385	-37.42	-1.871
-37.32	1.20166	-37.32	-1.866
-37.22	1.19189	-37.22	-1.861
-37.12	1.20117	-37.12	-1.856
-37.02	1.19385	-37.02	-1.851
-36.92	1.19385	-36.92	-1.846
-36.82	1.19189	-36.82	-1.841
-36.72	1.19385	-36.72	-1.836
-36.62	1.18408	-36.62	-1.831
-36.52	1.17432	-36.52	-1.826
-36.42	1.18213	-36.42	-1.821
-36.32	1.17432	-36.32	-1.816
-36.22	1.17432	-36.22	-1.811
-36.12	1.17236	-36.12	-1.806
-36.02	1.16455	-36.02	-1.801
-35.92	1.17236	-35.92	-1.796
-35.82	1.16455	-35.82	-1.791
-35.72	1.16455	-35.72	-1.786
-35.62	1.16064	-35.62	-1.781
-35.52	1.15283	-35.52	-1.776
-35.42	1.16064	-35.42	-1.771
-35.32	1.15283	-35.32	-1.766
-35.22	1.15283	-35.22	-1.761
