Cycle: 10  CDAN-c206_X	Cycle: 10  CDAN-c206_Y	Fitted Cycle: 10  CDAN-c206_X	Fitted Cycle: 10  CDAN-c206_Y
-60.02	-1.2251	-60.02	-3.001
-59.92	-1.2251	-59.92	-2.996
-59.82	-1.2251	-59.82	-2.991
-59.72	-1.21533	-59.72	-2.986
-59.62	-1.21533	-59.62	-2.981
-59.52	-1.22314	-59.52	-2.976
-59.42	-1.21533	-59.42	-2.971
-59.32	-1.21533	-59.32	-2.966
-59.22	-1.22314	-59.22	-2.961
-59.12	-1.2251	-59.12	-2.956
-59.02	-1.21338	-59.02	-2.951
-58.92	-1.22119	-58.92	-2.946
-58.82	-1.22314	-58.82	-2.941
-58.72	-1.22314	-58.72	-2.936
-58.62	-1.21338	-58.62	-2.931
-58.52	-1.21338	-58.52	-2.926
-58.42	-1.21338	-58.42	-2.921
-58.32	-1.20361	-58.32	-2.916
-58.22	-1.20361	-58.22	-2.911
-58.12	-1.19385	-58.12	-2.906
-58.02	-1.19385	-58.02	-2.901
-57.92	-1.19385	-57.92	-2.896
-57.82	-1.19189	-57.82	-2.891
-57.72	-1.19385	-57.72	-2.886
-57.62	-1.18408	-57.62	-2.881
-57.52	-1.18408	-57.52	-2.876
-57.42	-1.18408	-57.42	-2.871
-57.32	-1.17432	-57.32	-2.866
-57.22	-1.17432	-57.22	-2.861
-57.12	-1.17432	-57.12	-2.856
-57.02	-1.16455	-57.02	-2.851
-56.92	-1.16455	-56.92	-2.846
-56.82	-1.16455	-56.82	-2.841
-56.72	-1.17236	-56.72	-2.836
-56.62	-1.1626	-56.62	-2.831
-56.52	-1.1626	-56.52	-2.826
-56.42	-1.15479	-56.42	-2.821
-56.32	-1.14307	-56.32	-2.816
-56.22	-1.14307	-56.22	-2.811
-56.12	-1.15088	-56.12	-2.806
-56.02	-1.14307	-56.02	-2.801
-55.92	-1.14307	-55.92	-2.796
-55.82	-1.14307	-55.82	-2.791
-55.72	-1.1333	-55.72	-2.786
-55.62	-1.1333	-55.62	-2.781
-55.52	-1.14111	-55.52	-2.776
-55.42	-1.14307	-55.42	-2.771
-55.32	-1.1333	-55.32	-2.766
-55.22	-1.1333	-55.22	-2.761
-55.12	-1.14111	-55.12	-2.756
-55.02	-1.1333	-55.02	-2.751
-54.92	-1.1333	-54.92	-2.746
-54.82	-1.12354	-54.82	-2.741
-54.72	-1.12354	-54.72	-2.736
-54.62	-1.11572	-54.62	-2.731
-54.52	-1.104	-54.52	-2.726
-54.42	-1.11182	-54.42	-2.721
-54.32	-1.06299	-54.32	-2.716
-54.22	-1.05322	-54.22	-2.711
-54.12	-1.04541	-54.12	-2.706
-54.02	-1.03369	-54.02	-2.701
-53.92	-1.02588	-53.92	-2.696
-53.82	-1.01465	-53.82	-2.691
-53.72	-0.986816	-53.72	-2.686
-53.62	-0.998535	-53.62	-2.681
-53.52	-1.03516	-53.52	-2.676
-53.42	-1.08203	-53.42	-2.671
-53.32	-1.1582	-53.32	-2.666
-53.22	-1.22119	-53.22	-2.661
-53.12	-1.26367	-53.12	-2.656
-53.02	-1.31445	-53.02	-2.651
-52.92	-1.33057	-52.92	-2.646
-52.82	-1.34229	-52.82	-2.641
-52.72	-1.41602	-52.72	-2.636
-52.62	-1.42432	-52.62	-2.631
-52.52	-1.4165	-52.52	-2.626
-52.42	-1.38916	-52.42	-2.621
-52.32	-1.3291	-52.32	-2.616
-52.22	-1.2666	-52.22	-2.611
-52.12	-1.22119	-52.12	-2.606
-52.02	-1.19824	-52.02	-2.601
-51.92	-1.18604	-51.92	-2.596
-51.82	-1.15674	-51.82	-2.591
-51.72	-1.14502	-51.72	-2.586
-51.62	-1.13525	-51.62	-2.581
-51.52	-1.11572	-51.52	-2.576
-51.42	-1.11377	-51.42	-2.571
-51.32	-1.10596	-51.32	-2.566
-51.22	-1.08496	-51.22	-2.561
-51.12	-1.08252	-51.12	-2.556
-51.02	-1.07471	-51.02	-2.551
-50.92	-1.05518	-50.92	-2.546
-50.82	-1.05322	-50.82	-2.541
-50.72	-1.04346	-50.72	-2.536
-50.62	-1.04346	-50.62	-2.531
-50.52	-1.02588	-50.52	-2.526
-50.42	-1.01611	-50.42	-2.521
-50.32	-1.00439	-50.32	-2.516
-50.22	-1.00439	-50.22	-2.511
-50.12	-1.00439	-50.12	-2.506
-50.02	-0.994629	-50.02	-2.501
-49.92	-0.994629	-49.92	-2.496
-49.82	-0.98291	-49.82	-2.491
-49.72	-0.98291	-49.72	-2.486
-49.62	-0.975098	-49.62	-2.481
-49.52	-0.955566	-49.52	-2.476
-49.42	-0.945801	-49.42	-2.471
-49.32	-0.936035	-49.32	-2.466
-49.22	-0.924316	-49.22	-2.461
-49.12	-0.924316	-49.12	-2.456
-49.02	-0.905273	-49.02	-2.451
-48.92	-0.902832	-48.92	-2.446
-48.82	-0.912109	-48.82	-2.441
-48.72	-0.904785	-48.72	-2.436
-48.62	-0.904785	-48.62	-2.431
-48.52	-0.904785	-48.52	-2.426
-48.42	-0.904785	-48.42	-2.421
-48.32	-0.89502	-48.32	-2.416
-48.22	-0.89502	-48.22	-2.411
-48.12	-0.885254	-48.12	-2.406
-48.02	-0.885254	-48.02	-2.401
-47.92	-0.885254	-47.92	-2.396
-47.82	-0.875488	-47.82	-2.391
-47.72	-0.883301	-47.72	-2.386
-47.62	-0.873535	-47.62	-2.381
-47.52	-0.873535	-47.52	-2.376
-47.42	-0.865723	-47.42	-2.371
-47.32	-0.854004	-47.32	-2.366
-47.22	-0.861816	-47.22	-2.361
-47.12	-0.86377	-47.12	-2.356
-47.02	-0.854004	-47.02	-2.351
-46.92	-0.854004	-46.92	-2.346
-46.82	-0.854004	-46.82	-2.341
-46.72	-0.844238	-46.72	-2.336
-46.62	-0.844238	-46.62	-2.331
-46.52	-0.844238	-46.52	-2.326
-46.42	-0.834473	-46.42	-2.321
-46.32	-0.834473	-46.32	-2.316
-46.22	-0.834473	-46.22	-2.311
-46.12	-0.824707	-46.12	-2.306
-46.02	-0.824707	-46.02	-2.301
-45.92	-0.824707	-45.92	-2.296
-45.82	-0.814941	-45.82	-2.291
-45.72	-0.814941	-45.72	-2.286
-45.62	-0.814941	-45.62	-2.281
-45.52	-0.805176	-45.52	-2.276
-45.42	-0.805176	-45.42	-2.271
-45.32	-0.805176	-45.32	-2.266
-45.22	-0.79541	-45.22	-2.261
-45.12	-0.79541	-45.12	-2.256
-45.02	-0.79541	-45.02	-2.251
-44.92	-0.775879	-44.92	-2.246
-44.82	-0.773926	-44.82	-2.241
-44.72	-0.781738	-44.72	-2.236
-44.62	-0.773926	-44.62	-2.231
-44.52	-0.766113	-44.52	-2.226
-44.42	-0.76416	-44.42	-2.221
-44.32	-0.754395	-44.32	-2.216
-44.22	-0.754395	-44.22	-2.211
-44.12	-0.754395	-44.12	-2.206
-44.02	-0.744629	-44.02	-2.201
-43.92	-0.744629	-43.92	-2.196
-43.82	-0.734863	-43.82	-2.191
-43.72	-0.734863	-43.72	-2.186
-43.62	-0.734863	-43.62	-2.181
-43.52	-0.725098	-43.52	-2.176
-43.42	-0.725098	-43.42	-2.171
-43.32	-0.725098	-43.32	-2.166
-43.22	-0.715332	-43.22	-2.161
-43.12	-0.715332	-43.12	-2.156
-43.02	-0.715332	-43.02	-2.151
-42.92	-0.705566	-42.92	-2.146
-42.82	-0.705566	-42.82	-2.141
-42.72	-0.705566	-42.72	-2.136
-42.62	-0.693848	-42.62	-2.131
-42.52	-0.693848	-42.52	-2.126
-42.42	-0.693848	-42.42	-2.121
-42.32	-0.684082	-42.32	-2.116
-42.22	-0.684082	-42.22	-2.111
-42.12	-0.684082	-42.12	-2.106
-42.02	-0.674316	-42.02	-2.101
-41.92	-0.674316	-41.92	-2.096
-41.82	-0.674316	-41.82	-2.091
-41.72	-0.674316	-41.72	-2.086
-41.62	-0.664551	-41.62	-2.081
-41.52	-0.655273	-41.52	-2.076
