X	Y	Req vs C_X	Req vs C_Y
3.90625e-8	2.02285	3.90625e-8	2.16343
7.8125e-8	7.42101	4.49811e-8	3.15656
1.5625e-7	10.9947	5.08996e-8	4.03241
3.125e-7	13.6834	5.68182e-8	4.81061
6.25e-7	16.2813	6.27367e-8	5.50663
		6.86553e-8	6.13283
		7.45739e-8	6.69921
		8.04924e-8	7.21396
		8.6411e-8	7.68382
		9.23295e-8	8.11443
		9.82481e-8	8.5105
		1.04167e-7	8.87604
		1.10085e-7	9.21443
		1.16004e-7	9.5286
		1.21922e-7	9.82106
		1.27841e-7	10.094
		1.33759e-7	10.3492
		1.39678e-7	10.5885
		1.45597e-7	10.8133
		1.51515e-7	11.0248
		1.57434e-7	11.2242
		1.63352e-7	11.4125
		1.69271e-7	11.5906
		1.75189e-7	11.7594
		1.81108e-7	11.9194
		1.87027e-7	12.0715
		1.92945e-7	12.2161
		1.98864e-7	12.3538
		2.04782e-7	12.4851
		2.10701e-7	12.6104
		2.16619e-7	12.7302
		2.22538e-7	12.8447
		2.28456e-7	12.9544
		2.34375e-7	13.0594
		2.40294e-7	13.1602
		2.46212e-7	13.257
		2.52131e-7	13.3499
		2.58049e-7	13.4393
		2.63968e-7	13.5253
		2.69886e-7	13.6081
		2.75805e-7	13.6879
		2.81723e-7	13.7648
		2.87642e-7	13.8391
		2.93561e-7	13.9107
		2.99479e-7	13.98
		3.05398e-7	14.0469
		3.11316e-7	14.1116
		3.17235e-7	14.1743
		3.23153e-7	14.2349
		3.29072e-7	14.2937
		3.34991e-7	14.3506
		3.40909e-7	14.4058
		3.46828e-7	14.4594
		3.52746e-7	14.5114
		3.58665e-7	14.5619
		3.64583e-7	14.6109
		3.70502e-7	14.6586
		3.7642e-7	14.7049
		3.82339e-7	14.75
		3.88258e-7	14.7938
		3.94176e-7	14.8365
		4.00095e-7	14.878
		4.06013e-7	14.9185
		4.11932e-7	14.9579
		4.1785e-7	14.9964
		4.23769e-7	15.0338
		4.29688e-7	15.0704
		4.35606e-7	15.106
		4.41525e-7	15.1408
		4.47443e-7	15.1748
		4.53362e-7	15.208
		4.5928e-7	15.2404
		4.65199e-7	15.272
		4.71117e-7	15.3029
		4.77036e-7	15.3332
		4.82955e-7	15.3627
		4.88873e-7	15.3916
		4.94792e-7	15.4199
		5.0071e-7	15.4476
		5.06629e-7	15.4747
		5.12547e-7	15.5012
		5.18466e-7	15.5271
		5.24384e-7	15.5526
		5.30303e-7	15.5775
		5.36222e-7	15.6019
		5.4214e-7	15.6258
		5.48059e-7	15.6492
		5.53977e-7	15.6722
		5.59896e-7	15.6947
		5.65814e-7	15.7168
		5.71733e-7	15.7385
		5.77652e-7	15.7598
		5.8357e-7	15.7806
		5.89489e-7	15.8011
		5.95407e-7	15.8212
		6.01326e-7	15.841
		6.07244e-7	15.8604
		6.13163e-7	15.8794
		6.19081e-7	15.8981
		6.25e-7	15.9165
			
