Cycle: 8  CDAN1A-c206  39.0625 _X	Cycle: 8  CDAN1A-c206  39.0625 _Y	Cycle: 9  CDAN1A-c206  78.125 n_X	Cycle: 9  CDAN1A-c206  78.125 n_Y	Cycle: 10  CDAN1A-c206  156.25 _X	Cycle: 10  CDAN1A-c206  156.25 _Y	Cycle: 11  CDAN1A-c206  312.5 n_X	Cycle: 11  CDAN1A-c206  312.5 n_Y	Cycle: 12  CDAN1A-c206  625 nM_X	Cycle: 12  CDAN1A-c206  625 nM_Y
-60.02	-0.0434341	-60.02	-0.0647812	-60.02	0.0154109	-60.02	-0.0205612	-60.02	0.0956039
-59.92	-0.055542	-59.92	-0.0690765	-59.92	3.30293e-3	-59.92	-0.0326691	-59.92	0.0854492
-59.82	-0.055542	-59.82	-0.0749359	-59.82	3.30345e-3	-59.82	-0.0404816	-59.82	0.0776367
-59.72	-0.055542	-59.72	-0.0690765	-59.72	3.30412e-3	-59.72	-0.0346222	-59.72	0.0756836
-59.62	-0.0477295	-59.62	-0.0593109	-59.62	0.0111156	-59.62	-0.0170441	-59.62	0.0834961
-59.52	-0.0438232	-59.52	-0.0534515	-59.52	0.0150221	-59.52	-0.0209503	-59.52	0.0874023
-59.42	-0.0477295	-59.42	-0.0573578	-59.42	0.0111162	-59.42	-0.0248566	-59.42	0.0834961
-59.32	-0.0457764	-59.32	-0.0460281	-59.32	0.0130692	-59.32	-0.0229034	-59.32	0.0854492
-59.22	-0.0457764	-59.22	-0.0436859	-59.22	0.0130692	-59.22	-0.0229034	-59.22	0.0854492
-59.12	-0.0457764	-59.12	-0.0436859	-59.12	5.25591e-3	-59.12	-0.0229034	-59.12	0.0854492
-59.02	-0.055542	-59.02	-0.0534515	-59.02	-6.4621e-3	-59.02	-0.0326691	-59.02	0.0756836
-58.92	-0.0535889	-58.92	-0.0436859	-58.92	-6.46138e-3	-58.92	-0.0229034	-58.92	0.0854492
-58.82	-0.0461655	-58.82	-0.0343094	-58.82	2.91452e-3	-58.82	-0.0135269	-58.82	0.0948257
-58.72	-0.0438232	-58.72	-0.0319672	-58.72	-2.55659e-3	-58.72	-0.0111847	-58.72	0.097168
-58.62	-0.0535889	-58.62	-0.0417328	-58.62	-0.0142746	-58.62	-0.0365753	-58.62	0.0952148
-58.52	-0.0535889	-58.52	-0.0417328	-58.52	-0.0142746	-58.52	-0.0404816	-58.52	0.097168
-58.42	-0.0535889	-58.42	-0.0319672	-58.42	-0.0142734	-58.42	-0.0404816	-58.42	0.097168
-58.32	-0.0301514	-58.32	-0.0257187	-58.32	3.30293e-3	-58.32	-0.0170441	-58.32	0.112793
-58.22	-0.0438232	-58.22	-0.0514984	-58.22	-0.0142747	-58.22	-0.0307159	-58.22	0.097168
-58.12	-0.0360107	-58.12	-0.0475922	-58.12	-0.0162283	-58.12	-0.0150909	-58.12	0.0952148
-58.02	-0.0438232	-58.02	-0.0534515	-58.02	-0.0240407	-58.02	-0.0209503	-58.02	0.0874023
-57.92	-0.0551529	-57.92	-0.045639	-57.92	-0.0353701	-57.92	-0.03228	-57.92	0.0682602
-57.82	-0.0574951	-57.82	-0.045639	-57.82	-0.0377125	-57.82	-0.0268097	-57.82	0.0737305
-57.72	-0.0750732	-57.72	-0.0475922	-57.72	-0.0396652	-57.72	-0.0346222	-57.72	0.0639648
-57.62	-0.0770264	-57.62	-0.045639	-57.62	-0.0377121	-57.62	-0.0346222	-57.62	0.0795898
-57.52	-0.0770264	-57.52	-0.045639	-57.52	-0.0377124	-57.52	-0.0346222	-57.52	0.0834961
-57.42	-0.0574951	-57.42	-0.0534515	-57.42	-0.0455253	-57.42	-0.0424347	-57.42	0.0834961
-57.32	-0.0633545	-57.32	-0.0554047	-57.32	-0.045525	-57.32	-0.0522003	-57.32	0.0756836
-57.22	-0.0672607	-57.22	-0.0554047	-57.22	-0.0494308	-57.22	-0.0447769	-57.22	0.0639648
-57.12	-0.0653076	-57.12	-0.0475922	-57.12	-0.0474777	-57.12	-0.0424347	-57.12	0.0639648
-57.02	-0.0574951	-57.02	-0.0378265	-57.02	-0.0396652	-57.02	-0.0346222	-57.02	0.0733414
-56.92	-0.0633545	-56.92	-0.0280609	-56.92	-0.0298996	-56.92	-0.0248566	-56.92	0.0834961
-56.82	-0.0653076	-56.82	-0.0261078	-56.82	-0.0181805	-56.82	-0.0229034	-56.82	0.0854492
-56.72	-0.0574951	-56.72	-0.0182953	-56.72	-0.0103689	-56.72	-0.0150909	-56.72	0.0932617
-56.62	-0.055542	-56.62	-0.0261078	-56.62	-0.0181808	-56.62	-0.0229034	-56.62	0.0854492
-56.52	-0.055542	-56.52	-0.0182953	-56.52	-0.0181808	-56.52	-0.0131378	-56.52	0.0952148
-56.42	-0.055542	-56.42	-0.0163422	-56.42	-0.0259933	-56.42	-5.32532e-3	-56.42	0.0952148
-56.32	-0.0477295	-56.32	-0.0163422	-56.32	-0.0279468	-56.32	4.44031e-3	-56.32	0.0952148
-56.22	-0.0457764	-56.22	-0.0319672	-56.22	-0.0357599	-56.22	6.39343e-3	-56.22	0.0795898
-56.12	-0.0477295	-56.12	-0.045639	-56.12	-0.0377121	-56.12	4.44031e-3	-56.12	0.065918
-56.02	-0.0281982	-56.02	-0.0280609	-56.02	-0.0377121	-56.02	6.39343e-3	-56.02	0.065918
-55.92	-0.0168686	-55.92	-0.0261078	-55.92	-0.0377121	-55.92	6.39343e-3	-55.92	0.065918
-55.82	-0.0145264	-55.82	-0.0182953	-55.82	-0.0298993	-55.82	6.39343e-3	-55.82	0.0737305
-55.72	1.09863e-3	-55.72	-0.0163422	-55.72	-0.0201338	-55.72	0.0142059	-55.72	0.0834961
-55.62	5.00488e-3	-55.62	-8.52966e-3	-55.62	-0.0181816	-55.62	0.0161591	-55.62	0.0854492
-55.52	-0.0125732	-55.52	-8.52966e-3	-55.52	-0.0279465	-55.52	6.39343e-3	-55.52	0.0756836
-55.42	-0.0145264	-55.42	2.79999e-3	-55.42	-0.0201346	-55.42	0.0161591	-55.42	0.0834961
-55.32	-0.0223389	-55.32	7.09534e-3	-55.32	-0.0181809	-55.32	8.34656e-3	-55.32	0.0776367
-55.22	-0.024292	-55.22	5.14221e-3	-55.22	-0.0103678	-55.22	6.39343e-3	-55.22	0.0834961
-55.12	-0.025856	-55.12	0.0129547	-55.12	-6.03169e-4	-55.12	0.0142059	-55.12	0.101074
-55.02	-0.0340576	-55.02	7.09534e-3	-55.02	3.30316e-3	-55.02	8.34656e-3	-55.02	0.097168
-54.92	-0.0340576	-54.92	-2.67029e-3	-54.92	-6.46299e-3	-54.92	-1.41907e-3	-54.92	0.0874023
-54.82	-0.0457764	-54.82	-0.014389	-54.82	-0.0181811	-54.82	-0.0131378	-54.82	0.0756836
-54.72	-0.0535889	-54.72	-0.0222015	-54.72	-0.018181	-54.72	-0.0209503	-54.72	0.0776367
-54.62	-0.055542	-54.62	-0.0241547	-54.62	-0.0181808	-54.62	-0.0131378	-54.62	0.0834961
-54.52	-0.0633545	-54.52	-0.014389	-54.52	-0.0259937	-54.52	-0.0131378	-54.52	0.0776367
-54.42	-0.0750732	-54.42	-0.0241547	-54.42	-0.0377121	-54.42	-0.0229034	-54.42	0.0737305
-54.32	-0.0750732	-54.32	-0.0335312	-54.32	-0.0377121	-54.32	-0.0307159	-54.32	0.0756836
-54.22	-0.0750732	-54.22	-0.0358734	-54.22	-0.0377121	-54.22	-0.0326691	-54.22	0.0678711
-54.12	-0.0750732	-54.12	-0.0358734	-54.12	-0.0377128	-54.12	-0.0326691	-54.12	0.065918
-54.02	-0.0828857	-54.02	-0.045639	-54.02	-0.0474777	-54.02	-0.0424347	-54.02	0.0561523
-53.92	-0.0848389	-53.92	-0.045639	-53.92	-0.0474777	-53.92	-0.0424347	-53.92	0.0561523
-53.82	-0.0770264	-53.82	-0.045639	-53.82	-0.0552902	-53.82	-0.0424347	-53.82	0.065918
-53.72	-0.0828857	-53.72	-0.0339203	-53.72	-0.0572433	-53.72	-0.0502472	-53.72	0.065918
-53.62	-0.0848389	-53.62	-0.0339203	-53.62	-0.0572442	-53.62	-0.0522003	-53.62	0.065918
-53.52	-0.0965576	-53.52	-0.045639	-53.52	-0.0611493	-53.52	-0.0639191	-53.52	0.0541992
-53.42	-0.0887451	-53.42	-0.0378265	-53.42	-0.0591963	-53.42	-0.0385284	-53.42	0.0620117
-53.32	-0.086792	-53.32	-0.0358734	-53.32	-0.0591965	-53.32	-0.0424347	-53.32	0.0639648
-53.22	-0.0770264	-53.22	-0.0358734	-53.22	-0.0591965	-53.22	-0.0443878	-53.22	0.0639648
-53.12	-0.0770264	-53.12	-0.0358734	-53.12	-0.0591965	-53.12	-0.0443878	-53.12	0.0639648
-53.02	-0.0770264	-53.02	-0.0358734	-53.02	-0.0474781	-53.02	-0.0443878	-53.02	0.0639648
-52.92	-0.0946045	-52.92	-0.045639	-52.92	-0.0572433	-52.92	-0.0541534	-52.92	0.0541992
-52.82	-0.0965576	-52.82	-0.0358734	-52.82	-0.0572433	-52.82	-0.0522003	-52.82	0.0541992
-52.72	-0.0887451	-52.72	-0.0436859	-52.72	-0.0572433	-52.72	-0.0541534	-52.72	0.0463867
-52.62	-0.086792	-52.62	-0.0378265	-52.62	-0.0572433	-52.62	-0.0541534	-52.62	0.0444336
-52.52	-0.0848389	-52.52	-0.0358734	-52.52	-0.0572437	-52.52	-0.0463409	-52.52	0.0444336
-52.42	-0.0965576	-52.42	-0.045639	-52.42	-0.067009	-52.42	-0.0619659	-52.42	0.034668
-52.32	-0.0965576	-52.32	-0.045639	-52.32	-0.0670087	-52.32	-0.0639191	-52.32	0.034668
-52.22	-0.0887451	-52.22	-0.045639	-52.22	-0.0591963	-52.22	-0.0561066	-52.22	0.0522461
-52.12	-0.086792	-52.12	-0.0358734	-52.12	-0.0572441	-52.12	-0.0541534	-52.12	0.0541992
-52.02	-0.0965576	-52.02	-0.045639	-52.02	-0.067009	-52.02	-0.0639191	-52.02	0.0444336
-51.92	-0.0965576	-51.92	-0.045639	-51.92	-0.067009	-51.92	-0.0639191	-51.92	0.0444336
-51.82	-0.0965576	-51.82	-0.045639	-51.82	-0.0572433	-51.82	-0.0639191	-51.82	0.0444336
-51.72	-0.0965576	-51.72	-0.045639	-51.72	-0.0572433	-51.72	-0.0639191	-51.72	0.0444336
-51.62	-0.0965576	-51.62	-0.045639	-51.62	-0.0572441	-51.62	-0.0639191	-51.62	0.0444336
-51.52	-0.106323	-51.52	-0.0554047	-51.52	-0.067009	-51.52	-0.0736847	-51.52	0.034668
-51.42	-0.0985107	-51.42	-0.0554047	-51.42	-0.067009	-51.42	-0.0736847	-51.42	0.034668
-51.32	-0.0965576	-51.32	-0.0554047	-51.32	-0.067009	-51.32	-0.0736847	-51.32	0.034668
-51.22	-0.086792	-51.22	-0.0554047	-51.22	-0.067009	-51.22	-0.0736847	-51.22	0.0424805
-51.12	-0.086792	-51.12	-0.045639	-51.12	-0.067009	-51.12	-0.0736847	-51.12	0.0444336
-51.02	-0.086792	-51.02	-0.045639	-51.02	-0.067009	-51.02	-0.0736847	-51.02	0.0444336
-50.92	-0.086792	-50.92	-0.045639	-50.92	-0.067009	-50.92	-0.0736847	-50.92	0.0444336
-50.82	-0.086792	-50.82	-0.045639	-50.82	-0.0670093	-50.82	-0.0736847	-50.82	0.0444336
-50.72	-0.0965576	-50.72	-0.0554047	-50.72	-0.0767746	-50.72	-0.0834503	-50.72	0.034668
-50.62	-0.0965576	-50.62	-0.0554047	-50.62	-0.0689621	-50.62	-0.0717316	-50.62	0.034668
-50.52	-0.086792	-50.52	-0.0554047	-50.52	-0.0670087	-50.52	-0.0717316	-50.52	0.034668
-50.42	-0.0789795	-50.42	-0.0475922	-50.42	-0.0494307	-50.42	-0.0639191	-50.42	0.0424805
-50.32	-0.0770264	-50.32	-0.0358734	-50.32	-0.0474781	-50.32	-0.0619659	-50.32	0.0561523
-50.22	-0.086792	-50.22	-0.045639	-50.22	-0.0572433	-50.22	-0.0717316	-50.22	0.0463867
-50.12	-0.086792	-50.12	-0.045639	-50.12	-0.0572433	-50.12	-0.0717316	-50.12	0.0463867
-50.02	-0.086792	-50.02	-0.045639	-50.02	-0.0572433	-50.02	-0.0717316	-50.02	0.0463867
-49.92	-0.086792	-49.92	-0.045639	-49.92	-0.0572439	-49.92	-0.0639191	-49.92	0.0463867
-49.82	-0.0946045	-49.82	-0.0534515	-49.82	-0.0650559	-49.82	-0.0697784	-49.82	0.0385742
-49.72	-0.0965576	-49.72	-0.045639	-49.72	-0.067009	-49.72	-0.0717316	-49.72	0.0366211
-49.62	-0.0848389	-49.62	-0.045639	-49.62	-0.0670097	-49.62	-0.0717316	-49.62	0.0366211
-49.52	-0.0946045	-49.52	-0.0554047	-49.52	-0.0767746	-49.52	-0.0814972	-49.52	0.0268555
-49.42	-0.0946045	-49.42	-0.0554047	-49.42	-0.0670084	-49.42	-0.0717316	-49.42	0.0268555
-49.32	-0.086792	-49.32	-0.0475922	-49.32	-0.0591964	-49.32	-0.0639191	-49.32	0.034668
